Date,PROVINCE_STATE_NAME,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_5Plus,Series_Complete_5to17,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,Booster_Doses,Booster_Doses_5Plus,Booster_Doses_12Plus,Booster_Doses_18Plus,Booster_Doses_50Plus,Booster_Doses_65Plus,Second_Booster_50Plus,Second_Booster_65Plus,Bivalent_Booster_5Plus,Bivalent_Booster_12Plus,Bivalent_Booster_18Plus,Bivalent_Booster_65Plus,PEOPLE_DEATH_NEW_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,TOT_POP,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,POPESTIMATE,POPEST_MALE,POPEST_FEM,GDP_current_dollar,personal_income,Vaccine_available,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity,new_hospitalized_patients,current_intensive_care_patients,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,new_cases_1 lag,new_cases_2_lag,new_cases_3_lag,new_cases_4_lag,new_cases_7_lag,new_cases_30_lag,new_cases_50_lag,new_cases_150_lag,new_cases_350_lag,new_deaths_1_lag,new_deaths_2_lag,new_deaths_3_lag,new_deaths_4_lag,new_deaths_7_lag,new_deaths_30_lag,new_deaths_50_lag,new_cases_10_mean,new_cases_50_mean,new_cases_100_mean,new_cases_10_std,new_cases_50_std,new_cases_100_std,new_cases_10_max,new_cases_50_max,new_cases_100_max,new_cases_10_min,new_cases_50_min,new_cases_100_min,new_deaths_10_mean,new_deaths_50_mean,new_deaths_100_mean,new_deaths_10_std,new_deaths_50_std,new_deaths_100_std,new_deaths_10_max,new_deaths_50_max,new_deaths_100_max,new_deaths_10_min,new_deaths_50_min,new_deaths_100_min,vaccination_rate_1dose,vaccination_rate_complete,booster_rate,prop_age04,prop_age59,prop_age6064,prop_age8084,prop_age85plus,AGE04_29_TOT,AGE30_59_TOT,AGE60PLUS_TOT
2020-03-01,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,11.416667,2.7444445,19.0,0.6223,-8.8892745,33.6665295,6.5,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.5,0.0,0.5,2.0,2.0,1.0,1.0,2.5,23.61,217.0,615.0,0.0,0.0,0.0,111.0,245.0,1732.0,0.0,15.0,35.0,0.0,0.0,0.0,19.0,10.0,161.6,134.06,851.94,209.29893560342032,143.51468815531555,1939.1156623374327,615.0,615.0,13790.0,0.0,0.0,0.0,6.0,8.38,11.9,11.234866364315687,8.41497693013311,10.866034560530338,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-02,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,3.477778,-3.938889,11.027778,1.2446,-4.673611,57.177636,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,0.0,217.0,615.0,0.0,0.0,83.0,0.0,1912.0,0.0,0.0,15.0,35.0,0.0,0.0,5.0,0.0,139.0,134.06,794.25,213.7272405043757,143.51468815531555,1876.145561835506,615.0,615.0,13790.0,0.0,0.0,0.0,5.9,8.38,11.63,11.28863735510816,8.41497693013311,10.822400077352365,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-03,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,7.227778,-0.427778,12.266667,2.427111,3.479167,77.820631,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,0.0,0.0,217.0,615.0,387.0,0.0,0.0,2161.0,524.0,0.0,0.0,15.0,35.0,3.0,0.0,0.0,121.9,134.06,794.25,217.6865483524798,143.51468815531555,1876.145561835506,615.0,615.0,13790.0,0.0,0.0,0.0,5.3,8.38,11.63,11.44115378805001,8.41497693013311,10.822400077352365,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-04,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,4.694444,1.516667,10.6,5.475111,-0.395833,68.999826,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,0.0,0.0,0.0,217.0,0.0,0.0,381.0,0.0,146.0,0.0,0.0,0.0,15.0,0.0,0.0,27.0,122.8,126.62,794.34,217.14449874131384,140.0524522805198,1876.1072917357783,615.0,615.0,13790.0,0.0,0.0,0.0,5.3,7.84,11.63,11.44115378805001,8.054305478107484,10.822400077352365,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-05,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,2.488889,0.233333,6.755556,0.4826,-3.854167,62.593774,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,9.0,0.0,0.0,0.0,0.0,492.0,90.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,123.7,125.0,656.53,216.59693749823973,140.9502734792274,1341.9738925876984,615.0,615.0,8919.0,0.0,0.0,0.0,5.3,7.34,11.3,11.44115378805001,7.737029963302414,10.666193171305787,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-06,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,2.022222,-2.072222,7.172222,0.0,-4.208333,62.979686,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,9.0,9.0,0.0,0.0,615.0,85.0,190.0,3535.0,197.0,0.0,0.0,0.0,0.0,35.0,18.0,12.0,87.1,121.62,626.12,197.2175617609965,141.38540323148783,1321.2086391959326,615.0,615.0,8919.0,0.0,0.0,0.0,5.0,7.1,11.08,11.54700538387096,7.775550377526174,10.670150946076394,35.0,35.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-07,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,-1.138889,-5.372222,5.644444,0.3048,-8.895833,55.489424,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,21.0,9.0,9.0,0.0,217.0,127.0,184.0,899.0,166.0,0.0,0.0,0.0,0.0,15.0,18.0,11.0,90.9,118.7,587.94,195.7131971938557,141.57831179025817,1281.4985847161129,615.0,615.0,8919.0,0.0,0.0,0.0,5.0,6.88,10.7,11.54700538387096,7.818450183078745,10.37430781431691,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-08,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,2.461111,-5.5,12.7,0.0,-7.069444,49.213154,0.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,38.0,21.0,9.0,9.0,0.0,111.0,0.0,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,92.4,119.0,538.74,194.9952705986505,141.33734432198654,1205.0855589739597,615.0,615.0,8919.0,0.0,0.0,0.0,5.0,6.88,10.36,11.54700538387096,7.818450183078745,10.157865042525271,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-09,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,10.938889,-1.211111,20.011111,0.0,-4.215278,34.193793,0.0,647.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,30.56,15.0,38.0,21.0,9.0,0.0,117.0,0.0,1527.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,33.9,119.6,490.1,65.63273235090324,140.884813284745,1122.8788353117232,217.0,615.0,8919.0,0.0,0.0,0.0,1.5,6.88,10.1,4.743416490444188,7.818450183078745,10.085993888913864,15.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
2020-03-10,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,11367649,4618428,4686049,576327,594179,40236,38240,257856,272881,5317,5022,136211,136903,4739819,4806791,655581,676080,69645,68361,303645,317799,10629,10484,4919703,5052738,4042731,4139573,498720,517982,18938,19676,251115,266265,2059,2128,106140,107114,4136861,4233545,556284,577975,39353,41115,292992,307168,6174,6371,714672,680536,575697,546476,77607,76197,21298,18564,6741,6616,3258,2894,30071,29789,602958,573246,99297,98105,30292,27246,10653,10631,4455,4113,11367649,5634375,5733274,722424311,3069715,0,11.166667,3.655556,19.022222,0.2032,3.138889,59.224851,0.0,647.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,30.56,30.0,15.0,38.0,21.0,0.0,0.0,143.0,1354.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.6,117.02,490.24,12.988884147699835,141.62677166063023,1122.8179837576515,38.0,615.0,8919.0,0.0,0.0,0.0,0.0,6.56,10.1,4.2667675022088176e-05,7.764808104385903,10.085993888913864,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.313394176755457,5.641553499760592,7.004623383427831,2.0895085694500244,2.403179408512701,3531528,4334922,2859887
