Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,6576964,0.0,0.0,0.5,1.5,0.5,0.5,0.0,255.0,1.0,0.0,0.0,3.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,81.0855255,10211.0,0.0,105298,110.0,0.0,0.0,3316.0,0,11501.520077798436,1489.18,36371.0,0.0,288638.0,72241,9069.21,0.0,6305.038926517358,39097.12860760363,36371.0,0.0,2.5,0.0,0.0,24.0472225,0.0,0,8
2020-03-02,0.0,0.0,1.0,6576964,0.0,0.0,0.5,1.5,0.5,0.5,0.0,255.0,1.0,0.0,0.0,3.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,81.0855255,0.0,0.0,105298,110.0,0.0,0.0,2514.0,0,11501.449822135975,1489.22,36371.0,0.0,197768.0,72241,6182.85,0.0,6305.029292492214,27046.603928182605,36371.0,0.0,2.5,0.0,0.0,24.0472225,0.0,2,8
2020-03-03,0.0,0.0,1.0,6576964,0.0,0.0,0.5,1.5,0.5,0.5,0.0,255.0,1.0,0.0,0.0,3.5,0.0,0.0,0.5,0.0,0.0,2.0,0.0,0.0,81.0855255,0.0,0.0,105298,110.0,0.0,10663.0,1975.0,0,0.6324563301937022,1489.22,2.0,0.0,197768.0,72241,6182.85,0.0,6305.029292492214,27046.603928182605,36371.0,0.0,2.5,0.0,0.0,24.0472225,0.0,0,8
2020-03-04,0.0,0.0,1.0,6576964,0.0,2.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.188854,0.0,0.0,105298,0.0,0.0,0.0,2807.0,0,0.6324563301937022,1489.22,2.0,0.0,197768.0,72241,6182.85,0.0,6305.029292492214,27046.603928182605,36371.0,0.0,0.0,0.0,0.0,18.227778,0.0,0,8
2020-03-05,0.0,0.0,1.0,6576964,0.0,0.0,0.0,0.0,0.0,0.0,2.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.331816,0.0,0.0,105298,0.0,0.0,0.0,2826.0,0,0.6324563301937022,1489.22,2.0,0.0,197768.0,72241,6182.85,0.0,6305.029292492214,27046.603928182605,36371.0,0.0,0.0,0.0,0.0,13.555556,0.0,0,8
2020-03-06,0.0,0.0,1.0,6576964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,64.968547,0.0,0.0,105298,0.0,0.0,0.0,2909.0,0,0.6749493056124563,1489.24,2.0,0.0,197768.0,72241,6182.86,0.0,6305.024473758613,27046.60161927783,36371.0,0.0,0.0,0.0,0.0,15.644444,0.0,1,8
2020-03-07,0.0,0.0,1.0,6576964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.137912,0.0,0.0,105298,0.0,0.0,0.0,2380.0,0,1.337493887251996,1489.32,4.0,0.0,197768.0,72241,6182.9,0.0,6305.005217560933,27046.59238586021,36371.0,0.0,0.0,0.0,0.0,15.355556,0.0,4,8
2020-03-08,0.0,0.0,1.0,6576964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,56.766107,0.0,0.0,105298,0.0,0.0,0.0,3422.0,0,1.663330296775303,1489.4,4.0,0.0,197768.0,72241,6182.94,0.0,6304.985960268656,27046.583152379688,36371.0,0.0,0.0,0.0,0.0,17.288889,0.0,4,8
2020-03-09,0.0,0.0,1.0,6576964,0.0,4.0,0.0,0.0,0.0,0.0,1.0,255.0,0.0,0.0,21347.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,64.689162,0.0,0.0,105298,0.0,0.0,0.0,2119.0,0,2.2135945901267755,1489.52,6.0,0.0,131698.0,72241,4205.32,0.0,6304.957091698917,18899.647168894186,36371.0,0.0,0.0,0.0,0.0,21.55,0.0,6,8
2020-03-10,0.0,0.0,1.0,6576964,0.0,4.0,0.0,0.0,0.0,0.0,4.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,73.062003,0.0,0.0,105298,0.0,0.0,12984.0,1605.0,0,2.347575796538872,1489.62,6.0,0.0,131698.0,72241,4205.37,0.0,6304.933024584082,18899.63593773414,36371.0,0.0,0.0,0.0,0.0,21.166667,0.0,5,8
2020-03-11,0.0,0.0,1.0,6576964,0.0,6.0,0.0,0.0,0.0,0.0,4.0,255.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,81.921215,0.0,0.0,105298,0.0,0.0,0.0,1877.0,0,3.0349814036328104,1489.8,9.0,0.0,131698.0,72241,4205.46,0.0,6304.889757731221,18899.615730912745,36371.0,0.0,0.0,0.0,0.0,22.927778,0.0,9,8
