Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,5025812,0.0,5.0,0.5,2.0,1.0,0.5,143.0,586.5,1.5,0.0,71.0,3.5,0.0,0.0,0.0,0.0,0.0,212.0,5.0,0.0,62.723175,871.0,0.0,76189,2.5,0.0,716.0,0.0,0,87.59781834626307,162.32,212.0,0.0,4782.0,87636,936.29,0.0,256.96155831210217,1159.474953407362,1172.0,0.0,2.5,0.0,0.0,10.5805555,0.0,0,2
2020-03-02,0.0,0.0,1.0,5025812,0.0,212.0,0.5,2.0,1.0,0.5,5.0,586.5,1.5,0.0,208.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,62.723175,0.0,0.0,76189,2.5,0.0,594.0,0.0,0,88.08430306071358,162.34,212.0,0.0,4782.0,87636,898.74,0.0,256.94870527804073,1127.6006404963111,1172.0,0.0,2.5,0.0,0.0,10.5805555,0.0,1,2
2020-03-03,0.0,0.0,1.0,5025812,0.0,0.0,0.5,2.0,1.0,0.5,212.0,586.5,1.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,127.0,62.723175,0.0,0.0,76189,2.5,0.0,28.0,372.0,0,79.76918091262715,162.34,212.0,0.0,4782.0,87636,879.96,0.0,256.94870527804073,1126.7650658138991,1172.0,0.0,2.5,0.0,0.0,10.5805555,0.0,0,2
2020-03-04,0.0,0.0,1.0,5025812,0.0,1.0,0.0,1.0,0.0,0.0,0.0,586.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,5.0,53.971459,1172.0,0.0,76189,0.0,0.0,687.0,193.0,0,79.76918091262715,138.9,212.0,0.0,4782.0,87636,879.96,0.0,212.59228488597944,1126.7650658138991,855.0,0.0,0.0,0.0,0.0,11.161111,0.0,0,2
2020-03-05,0.0,0.0,1.0,5025812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,586.5,1.0,0.0,213.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,54.296993,825.0,0.0,76189,0.0,0.0,0.0,237.0,0,79.7011083230081,122.42,212.0,0.0,4782.0,87636,849.24,0.0,188.9434738955956,1108.092939253495,855.0,0.0,0.0,0.0,0.0,14.094444,0.0,1,2
2020-03-06,0.0,0.0,1.0,5025812,0.0,0.0,0.0,1.0,0.0,0.0,0.0,586.5,1.0,0.0,76.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,54.074965,855.0,0.0,76189,0.0,0.0,445.0,188.0,0,75.94120533621555,105.34,212.0,0.0,4782.0,87636,814.09,0.0,157.32231441677362,1077.986695211844,672.0,0.0,0.0,0.0,0.0,9.788889,0.0,1,2
2020-03-07,0.0,0.0,1.0,5025812,0.0,1.0,0.0,1.0,0.0,0.0,0.0,586.5,1.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,212.0,57.521136,593.0,0.0,76189,0.0,0.0,696.0,167.0,0,76.18989435122377,93.48,212.0,0.0,4782.0,87636,773.43,0.0,141.3503737684156,1029.6904335736774,672.0,0.0,0.0,0.0,0.0,12.222222,0.0,0,2
2020-03-08,0.0,0.0,1.0,5025812,0.0,1.0,0.0,1.0,0.0,0.0,1.0,586.5,1.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.61629,562.0,0.0,76189,0.0,0.0,651.0,0.0,0,66.7407088925074,82.26,212.0,0.0,4782.0,87636,735.63,0.0,124.68438686433956,986.6495868214646,672.0,0.0,0.0,0.0,0.0,18.938889,0.0,1,2
2020-03-09,0.0,0.0,1.0,5025812,0.0,0.0,0.0,1.0,0.0,0.0,1.0,586.5,1.0,0.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59.053741,0.0,0.0,76189,0.0,0.0,488.0,0.0,0,66.76992004993288,82.34,212.0,0.0,4782.0,87636,731.24,0.0,124.6318022161866,988.9387549354868,672.0,0.0,0.0,0.0,0.0,16.011111,0.0,4,2
2020-03-10,0.0,1.0,1.0,5025812,0.0,1.0,0.0,1.0,0.0,0.0,0.0,586.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,90.457837,0.0,0.0,76189,0.0,0.0,370.0,330.0,0,2.547330002832253,82.5,8.0,0.0,2598.0,87636,683.5,0.0,124.52903112544644,902.9049358795054,672.0,0.0,0.0,0.0,0.0,13.777778,0.0,8,2
