Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,3884676,0.0,3346.0,0.0,1.0,0.0,0.0,2818.0,832.0,1.0,0.0,1471.0,1.0,0.0,0.0,0.0,0.0,0.0,3190.0,2385.0,0.0,60.496067,697.0,0.0,35412,0.0,0.0,4835.0,659.0,0,1759.8369116359952,1401.1,5445.0,0.0,24412.0,78072,2145.52,0.0,1453.0678067529286,3377.417746735323,6527.0,0.0,0.0,0.0,0.0,8.644444,0.0,0,9
2020-03-02,0.0,0.0,1.0,3884676,0.0,3190.0,0.0,1.0,0.0,0.0,3346.0,832.0,1.0,0.0,1453.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,0.0,71.8856,0.0,0.0,35412,0.0,0.0,5158.0,491.0,0,1884.989893872377,1401.1,5445.0,0.0,24412.0,78072,2005.63,0.0,1453.0678067529286,3164.9380119199864,6527.0,0.0,0.0,0.0,0.0,7.105556,0.0,0,9
2020-03-03,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,3190.0,832.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.0,5445.0,85.322883,0.0,0.0,35412,0.0,0.0,5169.0,278.0,0,1975.4100671340009,1401.1,5445.0,0.0,24412.0,78072,2005.63,0.0,1453.0678067529286,3164.9380119199864,6527.0,0.0,0.0,0.0,0.0,4.427778,0.0,0,9
2020-03-04,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,2385.0,70.692452,1515.0,0.0,35412,0.0,0.0,0.0,361.0,0,1975.4100671340009,1370.8,5445.0,0.0,24412.0,78072,2005.63,0.0,1466.3789915775988,3164.9380119199864,6527.0,0.0,0.0,0.0,0.0,3.277778,0.0,0,9
2020-03-05,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,2877.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,72.148436,505.0,0.0,35412,0.0,0.0,0.0,431.0,0,1975.4100671340009,1360.7,5445.0,0.0,12140.0,78072,1761.51,0.0,1474.182461085733,2219.482392543628,6527.0,0.0,0.0,0.0,0.0,5.761111,0.0,0,9
2020-03-06,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,1124.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.0,82.822535,743.0,0.0,35412,0.0,0.0,11171.0,540.0,0,1535.5329476551226,1345.84,3346.0,0.0,12140.0,78072,1689.54,0.0,1484.2464776889224,2157.26282060736,6527.0,0.0,0.0,0.0,0.0,3.388889,0.0,0,9
2020-03-07,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,1313.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,61.946671,902.0,0.0,35412,0.0,0.0,3719.0,405.0,0,1511.555798948375,1327.8,3346.0,0.0,12140.0,78072,1608.85,0.0,1495.1923772208445,2065.176522282035,6527.0,0.0,0.0,0.0,0.0,7.044444,0.0,0,9
2020-03-08,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,1754.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.405641,816.0,0.0,35412,0.0,0.0,5389.0,409.0,0,1378.4002966406172,1311.48,3346.0,0.0,12140.0,78072,1522.73,0.0,1505.3117412578397,1946.3331898631068,6527.0,0.0,0.0,0.0,0.0,12.8,0.0,0,9
2020-03-09,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,832.0,1.0,0.0,1647.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.590725,0.0,0.0,35412,0.0,0.0,5477.0,289.0,0,1008.7665735943116,1311.48,3190.0,0.0,12140.0,78072,1450.39,0.0,1505.3117412578397,1864.6359890389488,6527.0,0.0,0.0,0.0,0.0,12.483333,0.0,0,9
2020-03-10,0.0,0.0,1.0,3884676,0.0,0.0,0.0,1.0,1.0,0.0,0.0,832.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.699276,0.0,0.0,35412,0.0,0.0,5002.0,189.0,0,0.6324565194390623,1311.52,2.0,0.0,12140.0,78072,1450.41,0.0,1505.2762068062034,1864.6202857426763,6527.0,0.0,0.0,0.0,0.0,9.138889,0.0,2,9
