Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,4549547,0.0,6434.0,0.5,2.0,1.0,0.0,5451.0,230.5,1.0,0.0,2570.0,3.5,1.0,0.0,1.0,0.0,0.0,5686.0,3143.0,4086.0,50.915916,1438.0,0.5,97718,165.0,0.5,7637.0,1370.0,0,1819.267557135264,2634.0,6434.0,0.0,16021.0,174900,3231.99,0.0,1494.6015781982276,2833.434819912049,6434.0,0.0,2.5,0.0,0.0,13.5666665,0.0,0,7
2020-03-02,0.0,0.0,1.0,4549547,0.0,5686.0,0.5,2.0,1.0,0.0,6434.0,230.5,1.0,0.0,2394.0,3.5,1.0,0.0,1.0,0.0,0.0,0.0,5451.0,4205.0,50.915916,1004.0,0.5,97718,165.0,0.5,8936.0,933.0,0,2239.912123772435,2613.92,6434.0,0.0,14221.0,174900,3071.78,0.0,1523.414235277625,2540.832586760204,6434.0,0.0,2.5,0.0,0.0,13.5666665,0.0,0,7
2020-03-03,0.0,0.0,1.0,4549547,0.0,0.0,0.5,2.0,1.0,0.0,5686.0,230.5,1.0,0.0,2377.0,3.5,1.0,0.0,1.0,0.0,0.0,0.0,6434.0,3239.0,50.915916,1077.0,0.5,97718,165.0,0.5,8853.0,798.0,0,2454.323679187975,2592.4,6434.0,0.0,10913.0,174900,2929.58,0.0,1552.8829541821135,2296.7471340090765,6434.0,0.0,2.5,0.0,0.0,13.5666665,0.0,1,7
2020-03-04,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,0.0,0.0,230.5,0.0,0.0,2008.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5686.0,3143.0,66.357875,521.0,0.0,97718,0.0,0.0,7642.0,628.0,0,2628.878529377659,2581.98,6434.0,0.0,10913.0,174900,2823.33,0.0,1568.733006120356,2179.9447127414046,6434.0,0.0,0.0,0.0,0.0,15.083333,0.0,0,7
2020-03-05,0.0,0.0,1.0,4549547,0.0,1.0,0.0,1.0,0.0,0.0,0.0,230.5,0.0,0.0,1411.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5451.0,75.288359,1064.0,0.0,97718,0.0,0.0,7830.0,959.0,0,2716.830514486524,2560.7,6434.0,0.0,10913.0,174900,2751.06,0.0,1596.7118924053125,2152.0962851622603,6434.0,0.0,0.0,0.0,0.0,13.794444,0.0,0,7
2020-03-06,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,0.0,1.0,230.5,0.0,0.0,1586.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6434.0,66.939587,1196.0,0.0,97718,0.0,0.0,4557.0,1013.0,0,2796.893880321254,2536.8,6434.0,0.0,10913.0,174900,2670.4,0.0,1626.2267080957884,2101.4024465645266,6434.0,0.0,0.0,0.0,0.0,13.344444,0.0,1,7
2020-03-07,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,0.0,0.0,230.5,0.0,0.0,2717.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5686.0,45.055022,1442.0,0.0,97718,0.0,0.0,6051.0,967.0,0,2839.3919947764766,2507.96,6434.0,0.0,10913.0,174900,2569.06,0.0,1658.5045631906066,1978.602873165836,6434.0,0.0,0.0,0.0,0.0,12.672222,0.0,0,7
2020-03-08,0.0,0.0,1.0,4549547,0.0,1.0,0.0,1.0,0.0,0.0,0.0,230.5,0.0,0.0,3438.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.671332,1303.0,0.0,97718,0.0,0.0,7243.0,852.0,0,2561.090601026732,2481.9,6434.0,0.0,8558.0,174900,2459.93,0.0,1687.8026440634992,1807.280066143008,6434.0,0.0,0.0,0.0,0.0,16.1,0.0,0,7
2020-03-09,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,0.0,1.0,230.5,0.0,0.0,3427.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.196028,1601.0,0.0,97718,0.0,0.0,8238.0,634.0,0,1797.8257887424843,2449.98,5686.0,0.0,7932.0,174900,2374.4,0.0,1719.5948441900152,1715.845781962316,6434.0,0.0,0.0,0.0,0.0,20.277778,0.0,5,7
2020-03-10,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,0.0,0.0,230.5,0.0,0.0,3263.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,68.172284,1134.0,1.0,97718,0.0,0.0,8092.0,589.0,0,1.5670215344456253,2427.3,5.0,0.0,6434.0,174900,2295.08,0.0,1744.6021387269354,1637.9040541216602,6434.0,0.0,0.0,0.0,0.0,20.5,0.0,0,7
2020-03-11,0.0,0.0,1.0,4549547,0.0,5.0,0.0,1.0,0.0,0.0,0.0,230.5,2.0,0.0,3406.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.635976,581.0,1.0,97718,0.0,0.0,7872.0,479.0,0,1.5491936398816044,2415.7,5.0,0.0,6434.0,174900,2237.78,0.0,1758.997711476968,1616.5781517796158,6434.0,0.0,0.0,0.0,0.0,24.038889,0.0,1,7
2020-03-12,0.0,0.0,1.0,4549547,0.0,0.0,0.0,1.0,0.0,1.0,5.0,230.5,2.0,0.0,2457.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.530926,857.0,1.0,97718,0.0,0.0,7284.0,590.0,0,2.7162066768819675,2398.72,8.0,0.0,6434.0,174900,2201.16,0.0,1778.342682249915,1625.2605989651538,6434.0,0.0,0.0,0.0,0.0,24.272222,0.0,8,7
2020-03-13,0.0,0.0,1.0,4549547,0.0,1.0,0.0,1.0,0.0,1.0,0.0,230.5,2.0,0.0,2296.0,3.0,1.0,0.0,1.0,1.0,0.0,8.0,5.0,1.0,69.901316,2376.0,1.0,97718,0.0,0.0,5169.0,631.0,0,2.7100637221647936,2351.24,8.0,0.0,6434.0,174900,2156.38,0.0,1810.365083938728,1623.5277637290574,6434.0,0.0,0.0,0.0,0.0,23.366667,0.0,2,7
2020-03-14,0.0,0.0,1.0,4549547,0.0,8.0,0.0,1.0,0.0,1.0,1.0,230.5,2.0,0.0,3985.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,37.408612,1889.0,1.0,97718,0.0,0.0,5142.0,547.0,0,3.09838682763647,2313.6,8.0,0.0,6434.0,174900,2095.69,0.0,1839.5020510779511,1588.584540503383,6434.0,0.0,0.0,0.0,0.0,20.905556,0.0,7,7
