Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,1.0,1.5,4223867,0.0,0.0,0.5,2.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,414.0,0.0,0.0,72.668376,82.0,1.0,48274,1.5,0.0,682.0,84.0,0,158.0936431437025,40.04,414.0,0.0,3419.0,42490,357.89,0.0,94.9304708060601,666.5428960130615,414.0,0.0,2.5,0.0,0.0,12.312653999999998,0.0,0,6
2020-03-02,0.0,1.0,1.5,4223867,0.0,414.0,0.5,2.0,0.0,0.0,0.0,214.0,2.0,0.0,188.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,72.668376,64.0,1.0,48274,1.5,0.0,589.0,47.0,0,158.0936431437025,38.76,414.0,0.0,3419.0,42490,331.27,0.0,95.03223084672474,625.4853768633784,414.0,0.0,2.5,0.0,0.0,12.312653999999998,0.0,0,6
2020-03-03,0.0,1.0,1.5,4223867,0.0,0.0,0.5,2.0,0.0,0.0,414.0,214.0,2.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,72.668376,27.0,1.0,48274,1.5,0.0,523.0,31.0,0,130.91829514033873,38.22,414.0,0.0,3419.0,42490,306.49,0.0,95.17701875823388,587.5118652601299,414.0,0.0,2.5,0.0,0.0,12.312653999999998,0.0,0,6
2020-03-04,0.0,1.0,1.5,4223867,0.0,0.0,0.5,2.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.5,0.0,0.5,0.0,0.0,0.0,0.0,414.0,0.0,72.668376,14.0,1.0,48274,1.5,0.0,451.0,100.0,0,130.91829514033873,37.94,414.0,0.0,3419.0,42490,300.87,0.0,95.27027290663766,587.7309673679404,414.0,0.0,2.5,0.0,0.0,12.312653999999998,0.0,0,6
2020-03-05,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.469967,53.0,2.0,48274,0.0,0.0,163.0,127.0,0,130.91829514033873,36.88,414.0,0.0,3419.0,42490,300.87,0.0,95.39405706958404,587.7309673679404,414.0,0.0,0.0,0.0,0.0,11.594444,0.0,0,6
2020-03-06,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.410173,56.0,2.0,48274,0.0,0.0,109.0,78.0,0,130.91829514033873,35.76,414.0,0.0,2355.0,42490,266.68,0.0,95.49368181744931,496.9425079069713,414.0,0.0,0.0,0.0,0.0,10.133333,0.0,0,6
2020-03-07,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,414.0,62.492703,52.0,2.0,48274,0.0,0.0,564.0,69.0,0,130.91829514033873,34.72,414.0,0.0,2146.0,42490,243.13,0.0,95.59631109840862,450.6203502997434,414.0,0.0,0.0,0.0,0.0,6.872222,0.0,0,6
2020-03-08,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.488625,51.0,2.0,48274,0.0,0.0,470.0,68.0,0,130.91829514033873,33.7,414.0,0.0,2065.0,42490,221.67,0.0,95.69109528076233,408.18588692663184,414.0,0.0,0.0,0.0,0.0,16.305556,0.0,0,6
2020-03-09,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,247.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.534237,0.0,2.0,48274,0.0,0.0,388.0,26.0,0,130.81628339947898,33.76,414.0,0.0,1788.0,42490,201.05,0.0,95.67047185741109,363.79576841184297,414.0,0.0,0.0,0.0,0.0,18.011111,0.0,3,6
2020-03-10,0.0,0.0,1.0,4223867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,214.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,72.056104,0.0,1.0,48274,0.0,0.0,367.0,30.0,0,0.9486845937531028,33.76,3.0,0.0,1788.0,42490,184.82,0.0,95.67047185741109,334.7624932275697,414.0,0.0,0.0,0.0,0.0,16.888889,0.0,0,6
