Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,3501599,0.0,1227.0,0.5,2.0,1.0,0.5,1125.0,55.5,2.0,0.0,314.0,3.5,0.0,0.0,0.0,0.0,0.0,1454.0,1091.0,0.0,74.2712875,380.0,0.0,164197,13.5,0.0,1098.0,637.0,0,692.1560919023723,438.98,2068.0,0.0,19378.0,65526,1613.51,0.0,506.3316042584541,3053.79854036819,2241.0,0.0,2.5,0.0,0.0,14.711111,0.0,0,5
2020-03-02,0.0,0.0,1.0,3501599,0.0,1454.0,0.5,2.0,1.0,0.5,1227.0,55.5,2.0,0.0,363.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,0.0,74.2712875,0.0,0.0,164197,13.5,0.0,1035.0,505.0,0,742.6629338639119,438.98,2068.0,0.0,19378.0,65526,1504.19,0.0,506.3316042584541,2909.0887520973174,2241.0,0.0,2.5,0.0,0.0,14.711111,0.0,0,5
2020-03-03,0.0,0.0,1.0,3501599,0.0,0.0,0.0,1.0,0.0,0.0,1454.0,55.5,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,2068.0,87.913955,0.0,0.0,164197,0.0,0.0,1337.0,320.0,0,781.8107543117985,438.98,2068.0,0.0,19378.0,65526,1504.19,0.0,506.3316042584541,2909.0887520973174,2241.0,0.0,0.0,0.0,0.0,13.477778,0.0,0,5
2020-03-04,0.0,0.0,1.0,3501599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.5,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.0,1091.0,55.880839,598.0,0.0,164197,0.0,0.0,0.0,401.0,0,781.8107543117985,427.02,2068.0,0.0,19378.0,65526,1504.19,0.0,509.5511626407021,2909.0887520973174,2241.0,0.0,0.0,0.0,0.0,13.005556,0.0,0,5
2020-03-05,0.0,0.0,1.0,3501599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.5,2.0,0.0,605.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1125.0,51.654688,401.0,0.0,164197,0.0,0.0,0.0,440.0,0,781.8107543117985,419.0,2068.0,0.0,13224.0,65526,1310.41,0.0,513.1123519423777,2284.889702243306,2241.0,0.0,0.0,0.0,0.0,12.6,0.0,0,5
2020-03-06,0.0,0.0,1.0,3501599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.5,2.0,0.0,346.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,68.082214,299.0,0.0,164197,0.0,0.0,1932.0,511.0,0,639.0561529855709,413.06,1454.0,0.0,13224.0,65526,1241.41,0.0,516.2394401761547,2217.518251072974,2241.0,0.0,0.0,0.0,0.0,9.522222,0.0,2,5
2020-03-07,0.0,0.0,1.0,3501599,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.5,2.0,0.0,351.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1454.0,48.753796,300.0,0.0,164197,0.0,0.0,920.0,495.0,0,617.67197335538,407.1,1454.0,0.0,13224.0,65526,1159.52,0.0,519.282599717052,2106.723414464714,2241.0,0.0,0.0,0.0,0.0,8.238889,0.0,2,5
2020-03-08,0.0,0.0,1.0,3501599,0.0,2.0,0.0,1.0,0.0,0.0,0.0,55.5,2.0,0.0,435.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,41.278607,238.0,0.0,164197,0.0,0.0,841.0,505.0,0,567.417159888039,402.38,1454.0,0.0,13224.0,65526,1080.96,0.0,521.9168707769019,1998.0877773671407,2241.0,0.0,0.0,0.0,0.0,15.966667,0.0,2,5
2020-03-09,0.0,0.0,1.0,3501599,0.0,2.0,0.0,1.0,0.0,0.0,2.0,55.5,2.0,0.0,435.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.444672,0.0,0.0,164197,0.0,0.0,1099.0,333.0,0,459.4458497918742,402.46,1454.0,0.0,13224.0,65526,1006.69,0.0,521.8542376063222,1895.0449833160249,2241.0,0.0,0.0,0.0,0.0,21.838889,0.0,4,5
2020-03-10,0.0,0.0,1.0,3501599,0.0,2.0,0.0,1.0,0.0,0.0,2.0,55.5,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,55.034481,0.0,0.0,164197,0.0,0.0,827.0,357.0,0,1.3984125500044644,402.5,4.0,0.0,13224.0,65526,1006.71,0.0,521.822835290029,1895.0342620775484,2241.0,0.0,0.0,0.0,0.0,20.45,0.0,2,5
