Date,new_cases_10_min,income_support,contact_tracing,personal_income,Booster_Doses_12to18,new_cases_2_lag,restrictions_on_internal_movement,testing_policy,facial_coverings,debt_relief,new_cases_3_lag,current_intensive_care_patients,public_information_campaigns,new_cases_50_min,new_cases_30_lag,international_travel_controls,workplace_closing,public_transport_closing,school_closing,stay_at_home_requirements,new_cases_100_min,new_cases_1 lag,new_cases_4_lag,new_cases_7_lag,relative_humidity,new_cases_50_lag,cancel_public_events,HISP_BLACK,new_hospitalized_patients,restrictions_on_gatherings,new_cases_150_lag,new_cases_350_lag,Vaccine_available,new_cases_10_std,new_cases_50_mean,new_cases_10_max,Administered_Dose1_Recip_5to12,new_cases_100_max,NATIVE_PEOPLES,new_cases_100_mean,Series_Complete_5to12,new_cases_50_std,new_cases_100_std,new_cases_50_max,Booster_Doses_18to50,vaccination_policy,Series_Complete_12Pto18,vaccination_rate_1dose,maximum_temperature_celsius,Administered_Dose1_Recip_12to18,PEOPLE_POSITIVE_NEW_CASES_COUNT,STATE
2020-03-01,0.0,0.0,1.0,13041776,0.0,149.0,0.5,1.5,0.5,0.5,1888.0,298.5,1.0,0.0,25.0,3.5,0.0,0.0,0.0,0.0,0.0,322.0,93.0,48.0,62.7772065,203.0,0.0,258868,9.0,0.0,2035.0,180.0,0,561.7383337082788,304.5,1888.0,0.0,94504.0,351733,3616.7,0.0,579.2813721885501,13841.883485066062,2616.0,0.0,2.5,0.0,0.0,24.0777775,0.0,0,1
2020-03-02,0.0,0.0,1.0,13041776,0.0,322.0,0.5,1.5,0.5,0.5,149.0,298.5,1.0,0.0,140.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1888.0,50.0,62.7772065,38.0,0.0,258868,9.0,0.0,2123.0,150.0,0,566.8956890152024,303.74,1888.0,0.0,94504.0,351733,3554.45,0.0,579.6629495693383,13844.032330910532,2616.0,0.0,2.5,0.0,0.0,24.0777775,0.0,0,1
2020-03-03,0.0,0.0,1.0,13041776,0.0,0.0,0.0,0.0,0.0,0.0,322.0,298.5,0.0,0.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,356.0,69.107711,20.0,0.0,258868,0.0,0.0,2533.0,1071.0,0,576.0145059917443,303.34,1888.0,0.0,94504.0,351733,3538.63,0.0,579.8696056815024,13847.212612087194,2616.0,0.0,0.0,0.0,0.0,22.344444,0.0,0,1
2020-03-04,0.0,0.0,1.0,13041776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,298.5,0.0,0.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,93.0,77.388347,92.0,0.0,258868,0.0,0.0,0.0,524.0,0,578.4007549572666,301.52,1888.0,0.0,94504.0,351733,3524.41,0.0,580.6886917583968,13850.136975652862,2616.0,0.0,0.0,0.0,0.0,20.377778,0.0,1,1
2020-03-05,0.0,0.0,1.0,13041776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,298.5,0.0,0.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1888.0,65.821538,14.0,0.0,258868,0.0,0.0,182.0,457.0,0,580.663805964655,301.32,1888.0,0.0,94504.0,351733,3457.16,0.0,580.7914529657949,13850.746529652835,2616.0,0.0,0.0,0.0,0.0,22.138889,0.0,4,1
2020-03-06,0.0,0.0,1.0,13041776,0.0,1.0,0.0,1.0,0.0,0.0,0.0,298.5,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,149.0,47.811926,2616.0,0.0,258868,0.0,0.0,3873.0,553.0,0,586.3203523308414,249.06,1888.0,0.0,94504.0,351733,3440.27,0.0,476.4518696395481,13853.950196152646,1888.0,0.0,0.0,0.0,0.0,20.716667,0.0,3,1
2020-03-07,0.0,0.0,1.0,13041776,0.0,4.0,0.0,1.0,0.0,0.0,1.0,298.5,0.0,0.0,1276.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,322.0,44.390912,43.0,0.0,258868,0.0,0.0,1741.0,410.0,0,589.744398495961,248.2,1888.0,0.0,80077.0,351733,2495.23,0.0,476.8700246498532,10362.707099079676,1888.0,0.0,0.0,0.0,0.0,19.844444,0.0,0,1
2020-03-08,0.0,0.0,1.0,13041776,0.0,3.0,0.0,1.0,0.0,0.0,4.0,298.5,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.815938,121.0,0.0,258868,0.0,0.0,2031.0,0.0,0,106.76979390592896,245.86,322.0,0.0,80077.0,351733,2495.27,0.0,477.79309884877046,10362.697377930555,1888.0,0.0,0.0,0.0,0.0,19.822222,0.0,4,1
2020-03-09,0.0,0.0,1.0,13041776,0.0,0.0,0.0,1.0,0.0,0.0,3.0,298.5,0.0,0.0,173.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,71.817888,23.0,0.0,258868,0.0,0.0,393.0,99.0,0,101.38184146879988,245.42,322.0,0.0,80077.0,351733,2461.44,0.0,478.0125986741192,10365.288465651342,1888.0,0.0,0.0,0.0,0.0,22.922222,0.0,1,1
2020-03-10,0.0,0.0,1.0,13041776,0.0,4.0,0.0,1.0,0.0,0.0,0.0,298.5,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,77.083325,14.0,0.0,258868,0.0,0.0,4064.0,728.0,0,2.40370123100447,245.28,7.0,0.0,80077.0,351733,2450.79,0.0,478.0827799567607,10367.277426512996,1888.0,0.0,0.0,0.0,0.0,26.4,0.0,7,1
