Date,contact_tracing,debt_relief,restrictions_on_internal_movement,current_intensive_care_patients,facial_coverings,public_information_campaigns,testing_policy,income_support,public_transport_closing,new_cases_50_min,Completeness_pct,new_cases_10_min,new_cases_100_min,new_cases_30_lag,new_cases_2_lag,workplace_closing,new_cases_3_lag,school_closing,international_travel_controls,stay_at_home_requirements,new_cases_350_lag,new_cases_50_lag,restrictions_on_gatherings,relative_humidity,new_cases_150_lag,new_cases_1 lag,rainfall_mm,new_cases_4_lag,cancel_public_events,new_cases_7_lag,new_hospitalized_patients,personal_income,new_cases_50_mean,Vaccine_available,new_cases_10_std,HISP_BLACK,new_cases_10_max,new_cases_50_max,new_cases_100_max,new_cases_50_std,new_cases_100_std,new_cases_100_mean,NATIVE_PEOPLES,booster_rate,vaccination_policy,maximum_temperature_celsius,prop_age85plus,prop_age6064,prop_age8084,vaccination_rate_1dose,PEOPLE_POSITIVE_NEW_CASES_COUNT,PROVINCE_STATE_NAME,STATE
2020-03-01,1.0,1.0,0.5,112.5,0.5,1.5,2.0,0.0,0.0,5.0,0.0,5.0,0.0,101.0,186.0,0.0,154.0,0.5,3.5,0.0,204.0,636.0,0.0,51.6297095,897.0,135.0,0.0,204.0,0.0,78.0,4.0,3592144,191.36,0,67.52316475190229,348678,204.0,1046.0,8908.0,209.6220856100956,1902.9267005793247,1107.65,873999,0.0,2.5,26.8487655,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,5,California,0
2020-03-02,1.0,1.0,0.5,112.5,0.5,1.5,2.0,0.0,0.0,5.0,0.0,5.0,0.0,108.0,135.0,0.0,186.0,0.5,3.5,0.0,100.0,517.0,0.0,51.6297095,1204.0,5.0,0.0,154.0,0.0,50.0,4.0,3592144,181.12,0,74.86461855540331,348678,204.0,1046.0,8389.0,205.8618161460614,1735.1669076995718,1018.62,873999,0.0,2.5,26.8487655,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,5,California,0
2020-03-03,1.0,1.0,0.5,112.5,0.5,1.5,2.0,0.0,0.0,5.0,0.0,5.0,0.0,58.0,5.0,0.0,135.0,0.5,3.5,0.0,67.0,345.0,0.0,51.6297095,1160.0,5.0,0.0,186.0,0.0,40.0,4.0,3592144,174.36,0,77.3063171222234,348678,204.0,1046.0,8389.0,205.9201113172629,1592.3841641901531,939.63,873999,0.0,2.5,26.8487655,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,7,California,0
2020-03-04,1.0,1.0,0.0,112.5,0.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,37.0,5.0,0.0,5.0,0.0,3.0,0.0,305.0,295.0,0.0,48.296522,787.0,7.0,0.0,135.0,0.0,204.0,0.0,3592144,168.66,0,81.02839008850654,348678,204.0,1046.0,8389.0,206.45636095700172,1569.958646434704,902.5,873999,0.0,0.0,24.685185,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,10,California,0
2020-03-05,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,35.0,7.0,0.0,5.0,0.0,3.0,0.0,246.0,363.0,0.0,48.461805,382.0,10.0,0.0,5.0,0.0,154.0,0.0,3592144,161.64,0,83.42634809153992,348678,204.0,1046.0,8389.0,205.67943752457148,1555.4931143167444,870.86,873999,0.0,0.0,25.753086,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,12,California,0
2020-03-06,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,97.0,10.0,0.0,7.0,0.0,3.0,0.0,262.0,356.0,0.0,55.931505,292.0,12.0,0.0,5.0,0.0,186.0,0.0,3592144,154.8,0,85.05527614637002,348678,204.0,1046.0,8389.0,204.7686599107602,1415.290730599599,797.92,873999,0.0,0.0,25.530864,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,14,California,0
2020-03-07,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,109.0,12.0,0.0,10.0,1.0,3.0,0.0,202.0,439.0,0.0,62.154563,856.0,14.0,0.0,7.0,1.0,135.0,0.0,3592144,146.4,0,72.66062666260281,348678,186.0,1046.0,8389.0,201.4601798908373,1316.8611079672387,738.29,873999,0.0,0.0,22.709877,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,19,California,0
2020-03-08,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,97.0,14.0,0.0,12.0,1.0,3.0,0.0,176.0,665.0,0.0,69.55876,820.0,19.0,0.762,10.0,1.0,5.0,0.0,3592144,133.34,0,64.51743950542091,348678,186.0,1046.0,8389.0,187.8619347569594,1221.8658308446938,681.95,873999,0.0,0.0,15.944444,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,12,California,0
2020-03-09,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,112.0,19.0,0.0,14.0,1.0,3.0,0.0,90.0,1046.0,0.0,55.828924,883.0,12.0,0.028222,12.0,1.0,5.0,0.0,3592144,113.62,0,40.94020029672297,348678,135.0,752.0,8389.0,134.18687700069418,1124.7956853301444,628.14,873999,0.0,0.0,18.395062,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,60,California,0
2020-03-10,1.0,1.0,0.0,112.5,0.0,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,62.0,12.0,0.0,19.0,1.0,3.0,0.0,51.0,278.0,0.0,58.712877,1082.0,60.0,0.0,14.0,1.0,7.0,0.0,3592144,108.2,0,16.37375950525556,348678,60.0,752.0,8389.0,132.8784929082459,1124.7564162335425,628.21,873999,0.0,0.0,19.438272,1.8603980952392043,5.818186899672274,1.716469941143982,0.0,7,California,0
