Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Georgia,0
2020-03-02,Georgia,2
2020-03-03,Georgia,0
2020-03-04,Georgia,0
2020-03-05,Georgia,0
2020-03-06,Georgia,1
2020-03-07,Georgia,4
2020-03-08,Georgia,4
2020-03-09,Georgia,6
2020-03-10,Georgia,5
2020-03-11,Georgia,9
2020-03-12,Georgia,0
2020-03-13,Georgia,10
2020-03-14,Georgia,24
2020-03-15,Georgia,32
2020-03-16,Georgia,21
2020-03-17,Georgia,24
2020-03-18,Georgia,51
2020-03-19,Georgia,89
2020-03-20,Georgia,194
2020-03-21,Georgia,49
2020-03-22,Georgia,68
2020-03-23,Georgia,161
2020-03-24,Georgia,263
2020-03-25,Georgia,214
2020-03-26,Georgia,238
2020-03-27,Georgia,525
2020-03-28,Georgia,225
2020-03-29,Georgia,240
2020-03-30,Georgia,459
2020-03-31,Georgia,1016
2020-04-01,Georgia,321
2020-04-02,Georgia,524
2020-04-03,Georgia,924
2020-04-04,Georgia,592
2020-04-05,Georgia,164
2020-04-06,Georgia,790
2020-04-07,Georgia,1466
2020-04-08,Georgia,618
2020-04-09,Georgia,601
2020-04-10,Georgia,699
2020-04-11,Georgia,328
2020-04-12,Georgia,529
2020-04-13,Georgia,1075
2020-04-14,Georgia,1061
2020-04-15,Georgia,821
2020-04-16,Georgia,985
2020-04-17,Georgia,962
2020-04-18,Georgia,375
2020-04-19,Georgia,593
2020-04-20,Georgia,789
2020-04-21,Georgia,555
2020-04-22,Georgia,817
2020-04-23,Georgia,1021
2020-04-24,Georgia,584
2020-04-25,Georgia,489
2020-04-26,Georgia,220
2020-04-27,Georgia,792
2020-04-28,Georgia,903
2020-04-29,Georgia,768
2020-04-30,Georgia,736
2020-05-01,Georgia,753
2020-05-02,Georgia,827
2020-05-03,Georgia,308
2020-05-04,Georgia,723
2020-05-05,Georgia,612
2020-05-06,Georgia,936
2020-05-07,Georgia,477
2020-05-08,Georgia,564
2020-05-09,Georgia,495
2020-05-10,Georgia,532
2020-05-11,Georgia,271
2020-05-12,Georgia,642
2020-05-13,Georgia,406
2020-05-14,Georgia,477
2020-05-15,Georgia,539
2020-05-16,Georgia,270
2020-05-17,Georgia,51
2020-05-18,Georgia,499
2020-05-19,Georgia,660
2020-05-20,Georgia,652
2020-05-21,Georgia,775
2020-05-22,Georgia,733
2020-05-23,Georgia,488
2020-05-24,Georgia,606
2020-05-25,Georgia,788
2020-05-26,Georgia,1156
2020-05-27,Georgia,1065
2020-05-28,Georgia,703
2020-05-29,Georgia,819
2020-05-30,Georgia,271
2020-05-31,Georgia,219
2020-06-01,Georgia,893
2020-06-02,Georgia,256
2020-06-03,Georgia,871
2020-06-04,Georgia,959
2020-06-05,Georgia,905
2020-06-06,Georgia,579
2020-06-07,Georgia,152
2020-06-08,Georgia,705
2020-06-09,Georgia,805
2020-06-10,Georgia,827
2020-06-11,Georgia,1008
2020-06-12,Georgia,867
2020-06-13,Georgia,701
2020-06-14,Georgia,318
2020-06-15,Georgia,755
2020-06-16,Georgia,878
2020-06-17,Georgia,1231
2020-06-18,Georgia,830
2020-06-19,Georgia,1338
2020-06-20,Georgia,588
2020-06-21,Georgia,716
2020-06-22,Georgia,1378
2020-06-23,Georgia,2182
2020-06-24,Georgia,1946
2020-06-25,Georgia,1414
2020-06-26,Georgia,1618
2020-06-27,Georgia,1400
2020-06-28,Georgia,948
2020-06-29,Georgia,774
2020-06-30,Georgia,3386
2020-07-01,Georgia,2613
2020-07-02,Georgia,2517
2020-07-03,Georgia,3376
2020-07-04,Georgia,3184
2020-07-05,Georgia,1835
2020-07-06,Georgia,1672
2020-07-07,Georgia,2749
2020-07-08,Georgia,2852
2020-07-09,Georgia,2103
2020-07-10,Georgia,4752
2020-07-11,Georgia,2855
2020-07-12,Georgia,1830
2020-07-13,Georgia,3608
2020-07-14,Georgia,2481
2020-07-15,Georgia,3475
2020-07-16,Georgia,3043
2020-07-17,Georgia,3438
2020-07-18,Georgia,3749
2020-07-19,Georgia,2327
2020-07-20,Georgia,1927
2020-07-21,Georgia,3218
2020-07-22,Georgia,3018
2020-07-23,Georgia,4431
2020-07-24,Georgia,3989
2020-07-25,Georgia,3582
2020-07-26,Georgia,2172
2020-07-27,Georgia,2328
2020-07-28,Georgia,3999
2020-07-29,Georgia,3414
2020-07-30,Georgia,4148
2020-07-31,Georgia,3765
2020-08-01,Georgia,3426
2020-08-02,Georgia,2628
2020-08-03,Georgia,1876
2020-08-04,Georgia,2967
2020-08-05,Georgia,3922
2020-08-06,Georgia,2978
2020-08-07,Georgia,3944
2020-08-08,Georgia,3977
2020-08-09,Georgia,2635
2020-08-10,Georgia,2036
2020-08-11,Georgia,3835
2020-08-12,Georgia,3698
2020-08-13,Georgia,2273
2020-08-14,Georgia,3337
2020-08-15,Georgia,3023
2020-08-16,Georgia,1848
2020-08-17,Georgia,1646
2020-08-18,Georgia,2876
2020-08-19,Georgia,2533
2020-08-20,Georgia,3080
2020-08-21,Georgia,2911
2020-08-22,Georgia,2618
2020-08-23,Georgia,1535
2020-08-24,Georgia,2311
2020-08-25,Georgia,2196
2020-08-26,Georgia,2757
2020-08-27,Georgia,2556
2020-08-28,Georgia,2367
2020-08-29,Georgia,2320
2020-08-30,Georgia,1075
2020-08-31,Georgia,1553
2020-09-01,Georgia,2296
2020-09-02,Georgia,1910
2020-09-03,Georgia,2663
2020-09-04,Georgia,1905
2020-09-05,Georgia,2205
2020-09-06,Georgia,1422
2020-09-07,Georgia,577
2020-09-08,Georgia,1552
2020-09-09,Georgia,1917
2020-09-10,Georgia,1933
2020-09-11,Georgia,1668
2020-09-12,Georgia,2036
2020-09-13,Georgia,1404
2020-09-14,Georgia,1029
2020-09-15,Georgia,1656
2020-09-16,Georgia,1996
2020-09-17,Georgia,1826
2020-09-18,Georgia,1942
2020-09-19,Georgia,1955
2020-09-20,Georgia,1050
2020-09-21,Georgia,879
2020-09-22,Georgia,999
2020-09-23,Georgia,1946
2020-09-24,Georgia,1565
2020-09-25,Georgia,1767
2020-09-26,Georgia,1452
2020-09-27,Georgia,766
2020-09-28,Georgia,656
2020-09-29,Georgia,1048
2020-09-30,Georgia,1491
2020-10-01,Georgia,1550
2020-10-02,Georgia,1358
2020-10-03,Georgia,1506
2020-10-04,Georgia,813
2020-10-05,Georgia,21029
2020-10-06,Georgia,1056
2020-10-07,Georgia,1657
2020-10-08,Georgia,1431
2020-10-09,Georgia,1781
2020-10-10,Georgia,1450
2020-10-11,Georgia,1284
2020-10-12,Georgia,2986
2020-10-13,Georgia,1234
2020-10-14,Georgia,1560
2020-10-15,Georgia,1762
2020-10-16,Georgia,1892
2020-10-17,Georgia,1599
2020-10-18,Georgia,1278
2020-10-19,Georgia,1854
2020-10-20,Georgia,1411
2020-10-21,Georgia,1418
2020-10-22,Georgia,1642
2020-10-23,Georgia,2187
2020-10-24,Georgia,1731
2020-10-25,Georgia,1295
2020-10-26,Georgia,3932
