Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Illinois,0
2020-03-02,Illinois,1
2020-03-03,Illinois,0
2020-03-04,Illinois,0
2020-03-05,Illinois,1
2020-03-06,Illinois,1
2020-03-07,Illinois,0
2020-03-08,Illinois,1
2020-03-09,Illinois,4
2020-03-10,Illinois,8
2020-03-11,Illinois,6
2020-03-12,Illinois,7
2020-03-13,Illinois,14
2020-03-14,Illinois,20
2020-03-15,Illinois,28
2020-03-16,Illinois,10
2020-03-17,Illinois,55
2020-03-18,Illinois,127
2020-03-19,Illinois,134
2020-03-20,Illinois,163
2020-03-21,Illinois,168
2020-03-22,Illinois,296
2020-03-23,Illinois,180
2020-03-24,Illinois,306
2020-03-25,Illinois,341
2020-03-26,Illinois,664
2020-03-27,Illinois,491
2020-03-28,Illinois,515
2020-03-29,Illinois,1071
2020-03-30,Illinois,452
2020-03-31,Illinois,919
2020-04-01,Illinois,976
2020-04-02,Illinois,705
2020-04-03,Illinois,1197
2020-04-04,Illinois,1478
2020-04-05,Illinois,887
2020-04-06,Illinois,971
2020-04-07,Illinois,1315
2020-04-08,Illinois,1502
2020-04-09,Illinois,1347
2020-04-10,Illinois,1447
2020-04-11,Illinois,1287
2020-04-12,Illinois,1663
2020-04-13,Illinois,1202
2020-04-14,Illinois,1241
2020-04-15,Illinois,1355
2020-04-16,Illinois,1124
2020-04-17,Illinois,1821
2020-04-18,Illinois,1573
2020-04-19,Illinois,1166
2020-04-20,Illinois,1136
2020-04-21,Illinois,1489
2020-04-22,Illinois,2012
2020-04-23,Illinois,1863
2020-04-24,Illinois,2697
2020-04-25,Illinois,2063
2020-04-26,Illinois,2092
2020-04-27,Illinois,1950
2020-04-28,Illinois,2222
2020-04-29,Illinois,2234
2020-04-30,Illinois,2539
2020-05-01,Illinois,3152
2020-05-02,Illinois,2535
2020-05-03,Illinois,3015
2020-05-04,Illinois,2321
2020-05-05,Illinois,2090
2020-05-06,Illinois,2406
2020-05-07,Illinois,2641
2020-05-08,Illinois,2940
2020-05-09,Illinois,2295
2020-05-10,Illinois,1643
2020-05-11,Illinois,1545
2020-05-12,Illinois,4045
2020-05-13,Illinois,1706
2020-05-14,Illinois,3207
2020-05-15,Illinois,2447
2020-05-16,Illinois,2141
2020-05-17,Illinois,1691
2020-05-18,Illinois,2418
2020-05-19,Illinois,1520
2020-05-20,Illinois,2415
2020-05-21,Illinois,2282
2020-05-22,Illinois,2715
2020-05-23,Illinois,2390
2020-05-24,Illinois,2441
2020-05-25,Illinois,1707
2020-05-26,Illinois,1238
2020-05-27,Illinois,1126
2020-05-28,Illinois,1516
2020-05-29,Illinois,1666
2020-05-30,Illinois,1496
2020-05-31,Illinois,1298
2020-06-01,Illinois,1078
2020-06-02,Illinois,1578
2020-06-03,Illinois,1035
2020-06-04,Illinois,870
2020-06-05,Illinois,1168
2020-06-06,Illinois,934
2020-06-07,Illinois,819
2020-06-08,Illinois,749
2020-06-09,Illinois,778
2020-06-10,Illinois,568
2020-06-11,Illinois,842
2020-06-12,Illinois,621
2020-06-13,Illinois,628
2020-06-14,Illinois,602
2020-06-15,Illinois,528
2020-06-16,Illinois,619
2020-06-17,Illinois,550
2020-06-18,Illinois,665
2020-06-19,Illinois,697
2020-06-20,Illinois,618
2020-06-21,Illinois,619
2020-06-22,Illinois,461
2020-06-23,Illinois,667
2020-06-24,Illinois,743
2020-06-25,Illinois,910
2020-06-26,Illinois,824
2020-06-27,Illinois,724
2020-06-28,Illinois,581
2020-06-29,Illinois,768
2020-06-30,Illinois,776
2020-07-01,Illinois,880
2020-07-02,Illinois,862
2020-07-03,Illinois,821
2020-07-04,Illinois,858
2020-07-05,Illinois,579
2020-07-06,Illinois,698
2020-07-07,Illinois,682
2020-07-08,Illinois,945
2020-07-09,Illinois,1133
2020-07-10,Illinois,1208
2020-07-11,Illinois,1124
2020-07-12,Illinois,825
2020-07-13,Illinois,933
2020-07-14,Illinois,767
2020-07-15,Illinois,1396
2020-07-16,Illinois,1225
2020-07-17,Illinois,1323
2020-07-18,Illinois,1257
2020-07-19,Illinois,985
2020-07-20,Illinois,1268
2020-07-21,Illinois,982
2020-07-22,Illinois,1608
2020-07-23,Illinois,1624
2020-07-24,Illinois,1576
2020-07-25,Illinois,1272
2020-07-26,Illinois,1449
2020-07-27,Illinois,1363
2020-07-28,Illinois,1146
2020-07-29,Illinois,1379
2020-07-30,Illinois,1866
2020-07-31,Illinois,1830
2020-08-01,Illinois,1504
2020-08-02,Illinois,1457
2020-08-03,Illinois,1577
2020-08-04,Illinois,1360
2020-08-05,Illinois,1853
2020-08-06,Illinois,1978
2020-08-07,Illinois,2037
2020-08-08,Illinois,2019
2020-08-09,Illinois,1340
2020-08-10,Illinois,1429
2020-08-11,Illinois,1649
2020-08-12,Illinois,1729
2020-08-13,Illinois,1929
2020-08-14,Illinois,2220
2020-08-15,Illinois,1656
2020-08-16,Illinois,1585
2020-08-17,Illinois,1873
2020-08-18,Illinois,1807
2020-08-19,Illinois,2138
2020-08-20,Illinois,2001
2020-08-21,Illinois,2137
2020-08-22,Illinois,2292
2020-08-23,Illinois,1835
2020-08-24,Illinois,1818
2020-08-25,Illinois,1755
2020-08-26,Illinois,2048
2020-08-27,Illinois,1739
2020-08-28,Illinois,2170
2020-08-29,Illinois,1754
2020-08-30,Illinois,1973
2020-08-31,Illinois,1903
2020-09-01,Illinois,1433
2020-09-02,Illinois,2171
2020-09-03,Illinois,1433
2020-09-04,Illinois,5316
2020-09-05,Illinois,2629
2020-09-06,Illinois,1424
2020-09-07,Illinois,1343
2020-09-08,Illinois,1580
2020-09-09,Illinois,1385
2020-09-10,Illinois,1959
2020-09-11,Illinois,2212
2020-09-12,Illinois,2008
2020-09-13,Illinois,1383
2020-09-14,Illinois,1528
2020-09-15,Illinois,1512
2020-09-16,Illinois,1901
2020-09-17,Illinois,2088
2020-09-18,Illinois,2123
2020-09-19,Illinois,2461
2020-09-20,Illinois,1316
2020-09-21,Illinois,1660
2020-09-22,Illinois,1481
2020-09-23,Illinois,1821
2020-09-24,Illinois,2291
2020-09-25,Illinois,2464
2020-09-26,Illinois,2308
2020-09-27,Illinois,1588
2020-09-28,Illinois,1901
2020-09-29,Illinois,1504
2020-09-30,Illinois,2263
2020-10-01,Illinois,2176
2020-10-02,Illinois,2180
2020-10-03,Illinois,2267
2020-10-04,Illinois,1411
2020-10-05,Illinois,2212
2020-10-06,Illinois,1562
2020-10-07,Illinois,2625
2020-10-08,Illinois,3115
2020-10-09,Illinois,2778
2020-10-10,Illinois,2782
2020-10-11,Illinois,2702
2020-10-12,Illinois,2770
2020-10-13,Illinois,3114
2020-10-14,Illinois,2966
2020-10-15,Illinois,4089
2020-10-16,Illinois,4470
2020-10-17,Illinois,3568
2020-10-18,Illinois,4083
2020-10-19,Illinois,3589
2020-10-20,Illinois,3707
2020-10-21,Illinois,4013
2020-10-22,Illinois,4960
2020-10-23,Illinois,3895
2020-10-24,Illinois,5900
2020-10-25,Illinois,4031
2020-10-26,Illinois,5022
2020-10-27,Illinois,4018
2020-10-28,Illinois,6123
2020-10-29,Illinois,6442
2020-10-30,Illinois,6987
2020-10-31,Illinois,429
2020-11-01,Illinois,14290
2020-11-02,Illinois,6448
2020-11-03,Illinois,6598
2020-11-04,Illinois,7605
2020-11-05,Illinois,10146
2020-11-06,Illinois,17288
2020-11-07,Illinois,12177
2020-11-08,Illinois,9919
2020-11-09,Illinois,11035
2020-11-10,Illinois,12673
2020-11-11,Illinois,12384
2020-11-12,Illinois,12788
2020-11-13,Illinois,15223
2020-11-14,Illinois,11003
2020-11-15,Illinois,10636
2020-11-16,Illinois,11847
2020-11-17,Illinois,12789
2020-11-18,Illinois,8698
2020-11-19,Illinois,14813
2020-11-20,Illinois,12954
2020-11-21,Illinois,11651
2020-11-22,Illinois,9928
2020-11-23,Illinois,8463
2020-11-24,Illinois,9678
2020-11-25,Illinois,11312
2020-11-26,Illinois,11509
2020-11-27,Illinois,7759
2020-11-28,Illinois,7947
2020-11-29,Illinois,7417
2020-11-30,Illinois,6338
2020-12-01,Illinois,12685
2020-12-02,Illinois,9698
2020-12-03,Illinois,11001
2020-12-04,Illinois,10487
2020-12-05,Illinois,9745
2020-12-06,Illinois,7481
2020-12-07,Illinois,8867
2020-12-08,Illinois,8005
2020-12-09,Illinois,8196
2020-12-10,Illinois,11146
2020-12-11,Illinois,9532
2020-12-12,Illinois,8660
2020-12-13,Illinois,7084
2020-12-14,Illinois,7448
2020-12-15,Illinois,7401
2020-12-16,Illinois,7033
2020-12-17,Illinois,8935
2020-12-18,Illinois,7249
2020-12-19,Illinois,7525
2020-12-20,Illinois,5921
2020-12-21,Illinois,4993
2020-12-22,Illinois,6348
2020-12-23,Illinois,6727
2020-12-24,Illinois,6975
2020-12-25,Illinois,5460
2020-12-26,Illinois,3422
2020-12-27,Illinois,3822
2020-12-28,Illinois,4731
2020-12-29,Illinois,5720
2020-12-30,Illinois,7731
2020-12-31,Illinois,7987
2021-01-01,Illinois,447
2021-01-02,Illinois,11390
2021-01-03,Illinois,4428
2021-01-04,Illinois,5354
2021-01-05,Illinois,7052
2021-01-06,Illinois,7444
2021-01-07,Illinois,8853
2021-01-08,Illinois,9203
2021-01-09,Illinois,6628
2021-01-10,Illinois,4649
2021-01-11,Illinois,5162
2021-01-12,Illinois,6591
2021-01-13,Illinois,5743
2021-01-14,Illinois,6766
2021-01-15,Illinois,6571
2021-01-16,Illinois,5109
2021-01-17,Illinois,4077
2021-01-18,Illinois,3412
2021-01-19,Illinois,4588
2021-01-20,Illinois,4827
2021-01-21,Illinois,4876
2021-01-22,Illinois,6907
2021-01-23,Illinois,5120
2021-01-24,Illinois,3169
2021-01-25,Illinois,3182
2021-01-26,Illinois,3640
2021-01-27,Illinois,3770
2021-01-28,Illinois,4206
2021-01-29,Illinois,4148
2021-01-30,Illinois,3296
2021-01-31,Illinois,2302
2021-02-01,Illinois,2462
2021-02-02,Illinois,2479
2021-02-03,Illinois,3346
2021-02-04,Illinois,3304
2021-02-05,Illinois,3620
2021-02-06,Illinois,2991
2021-02-07,Illinois,1995
2021-02-08,Illinois,1922
2021-02-09,Illinois,2073
2021-02-10,Illinois,2860
2021-02-11,Illinois,2793
2021-02-12,Illinois,2611
2021-02-13,Illinois,2026
2021-02-14,Illinois,1511
2021-02-15,Illinois,1355
2021-02-16,Illinois,1791
2021-02-17,Illinois,1858
2021-02-18,Illinois,1940
2021-02-19,Illinois,2210
2021-02-20,Illinois,1884
2021-02-21,Illinois,1520
2021-02-22,Illinois,1401
2021-02-23,Illinois,1719
2021-02-24,Illinois,1981
2021-02-25,Illinois,1972
2021-02-26,Illinois,2619
2021-02-27,Illinois,1739
2021-02-28,Illinois,1190
2021-03-01,Illinois,1285
2021-03-02,Illinois,1653
2021-03-03,Illinois,2100
2021-03-04,Illinois,1779
2021-03-05,Illinois,1503
2021-03-06,Illinois,2478
2021-03-07,Illinois,1040
2021-03-08,Illinois,1248
2021-03-09,Illinois,1685
2021-03-10,Illinois,1669
2021-03-11,Illinois,1710
2021-03-12,Illinois,1775
2021-03-13,Illinois,1593
2021-03-14,Illinois,1455
2021-03-15,Illinois,868
2021-03-16,Illinois,1982
2021-03-17,Illinois,1513
2021-03-18,Illinois,2409
2021-03-19,Illinois,2376
2021-03-20,Illinois,1841
2021-03-21,Illinois,1352
2021-03-22,Illinois,1359
2021-03-23,Illinois,1823
2021-03-24,Illinois,2736
2021-03-25,Illinois,2263
2021-03-26,Illinois,3111
2021-03-27,Illinois,2484
2021-03-28,Illinois,2175
2021-03-29,Illinois,1984
2021-03-30,Illinois,2377
2021-03-31,Illinois,2585
2021-04-01,Illinois,3696
2021-04-02,Illinois,3037
2021-04-03,Illinois,2739
2021-04-04,Illinois,2396
2021-04-05,Illinois,2344
2021-04-06,Illinois,2964
2021-04-07,Illinois,3693
2021-04-08,Illinois,3930
2021-04-09,Illinois,3959
2021-04-10,Illinois,3404
2021-04-11,Illinois,2815
2021-04-12,Illinois,2670
2021-04-13,Illinois,3189
2021-04-14,Illinois,3487
2021-04-15,Illinois,3784
2021-04-16,Illinois,3807
2021-04-17,Illinois,2964
2021-04-18,Illinois,2593
2021-04-19,Illinois,2160
2021-04-20,Illinois,2604
2021-04-21,Illinois,2781
2021-04-22,Illinois,3348
2021-04-23,Illinois,3450
2021-04-24,Illinois,2693
2021-04-25,Illinois,1970
2021-04-26,Illinois,2240
2021-04-27,Illinois,2593
2021-04-28,Illinois,2646
2021-04-29,Illinois,3470
