Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Michigan,0
2020-03-02,Michigan,0
2020-03-03,Michigan,0
2020-03-04,Michigan,0
2020-03-05,Michigan,0
2020-03-06,Michigan,0
2020-03-07,Michigan,0
2020-03-08,Michigan,0
2020-03-09,Michigan,0
2020-03-10,Michigan,2
2020-03-11,Michigan,0
2020-03-12,Michigan,10
2020-03-13,Michigan,13
2020-03-14,Michigan,8
2020-03-15,Michigan,20
2020-03-16,Michigan,1
2020-03-17,Michigan,11
2020-03-18,Michigan,15
2020-03-19,Michigan,254
2020-03-20,Michigan,214
2020-03-21,Michigan,239
2020-03-22,Michigan,246
2020-03-23,Michigan,291
2020-03-24,Michigan,459
2020-03-25,Michigan,502
2020-03-26,Michigan,579
2020-03-27,Michigan,763
2020-03-28,Michigan,962
2020-03-29,Michigan,807
2020-03-30,Michigan,1035
2020-03-31,Michigan,1105
2020-04-01,Michigan,1595
2020-04-02,Michigan,1478
2020-04-03,Michigan,1845
2020-04-04,Michigan,1438
2020-04-05,Michigan,1435
2020-04-06,Michigan,1435
2020-04-07,Michigan,1684
2020-04-08,Michigan,1411
2020-04-09,Michigan,1150
2020-04-10,Michigan,1206
2020-04-11,Michigan,1168
2020-04-12,Michigan,635
2020-04-13,Michigan,1005
2020-04-14,Michigan,1281
2020-04-15,Michigan,1478
2020-04-16,Michigan,1252
2020-04-17,Michigan,831
2020-04-18,Michigan,713
2020-04-19,Michigan,696
2020-04-20,Michigan,609
2020-04-21,Michigan,972
2020-04-22,Michigan,1120
2020-04-23,Michigan,1209
2020-04-24,Michigan,1354
2020-04-25,Michigan,766
2020-04-26,Michigan,701
2020-04-27,Michigan,454
2020-04-28,Michigan,1012
2020-04-29,Michigan,974
2020-04-30,Michigan,817
2020-05-01,Michigan,1064
2020-05-02,Michigan,650
2020-05-03,Michigan,829
2020-05-04,Michigan,193
2020-05-05,Michigan,395
2020-05-06,Michigan,688
2020-05-07,Michigan,542
2020-05-08,Michigan,556
2020-05-09,Michigan,483
2020-05-10,Michigan,407
2020-05-11,Michigan,422
2020-05-12,Michigan,419
2020-05-13,Michigan,379
2020-05-14,Michigan,1154
2020-05-15,Michigan,466
2020-05-16,Michigan,486
2020-05-17,Michigan,321
2020-05-18,Michigan,1116
2020-05-19,Michigan,431
2020-05-20,Michigan,573
2020-05-21,Michigan,415
2020-05-22,Michigan,357
2020-05-23,Michigan,442
2020-05-24,Michigan,547
2020-05-25,Michigan,201
2020-05-26,Michigan,216
2020-05-27,Michigan,248
2020-05-28,Michigan,356
2020-05-29,Michigan,479
2020-05-30,Michigan,107
2020-05-31,Michigan,834
2020-06-01,Michigan,1260
2020-06-02,Michigan,211
2020-06-03,Michigan,388
2020-06-04,Michigan,213
2020-06-05,Michigan,4439
2020-06-06,Michigan,444
2020-06-07,Michigan,414
2020-06-08,Michigan,295
