Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,New York,0
2020-03-02,New York,0
2020-03-03,New York,0
2020-03-04,New York,9
2020-03-05,New York,9
2020-03-06,New York,21
2020-03-07,New York,38
2020-03-08,New York,15
2020-03-09,New York,30
2020-03-10,New York,14
2020-03-11,New York,29
2020-03-12,New York,65
2020-03-13,New York,36
2020-03-14,New York,75
2020-03-15,New York,61
2020-03-16,New York,84
2020-03-17,New York,243
2020-03-18,New York,314
2020-03-19,New York,641
2020-03-20,New York,1010
2020-03-21,New York,1451
2020-03-22,New York,1978
2020-03-23,New York,2447
2020-03-24,New York,2191
2020-03-25,New York,2295
2020-03-26,New York,2820
2020-03-27,New York,3361
2020-03-28,New York,3361
2020-03-29,New York,3202
2020-03-30,New York,3329
2020-03-31,New York,3564
2020-04-01,New York,3757
2020-04-02,New York,4510
2020-04-03,New York,4788
2020-04-04,New York,5941
2020-04-05,New York,3670
2020-04-06,New York,4477
2020-04-07,New York,3369
2020-04-08,New York,4393
2020-04-09,New York,5311
2020-04-10,New York,5219
2020-04-11,New York,4022
2020-04-12,New York,3336
2020-04-13,New York,2781
2020-04-14,New York,3476
2020-04-15,New York,3734
2020-04-16,New York,3661
2020-04-17,New York,3152
2020-04-18,New York,3200
2020-04-19,New York,2881
2020-04-20,New York,2356
2020-04-21,New York,1658
2020-04-22,New York,2419
2020-04-23,New York,2801
2020-04-24,New York,3532
2020-04-25,New York,5913
2020-04-26,New York,2758
2020-04-27,New York,1720
2020-04-28,New York,1261
2020-04-29,New York,2081
2020-04-30,New York,2042
2020-05-01,New York,1732
2020-05-02,New York,2000
2020-05-03,New York,1461
2020-05-04,New York,1218
2020-05-05,New York,1018
2020-05-06,New York,1294
2020-05-07,New York,1643
2020-05-08,New York,1369
2020-05-09,New York,1209
2020-05-10,New York,1145
2020-05-11,New York,720
2020-05-12,New York,664
2020-05-13,New York,1049
2020-05-14,New York,1095
2020-05-15,New York,950
2020-05-16,New York,1176
2020-05-17,New York,896
2020-05-18,New York,613
2020-05-19,New York,883
2020-05-20,New York,796
2020-05-21,New York,963
2020-05-22,New York,887
2020-05-23,New York,990
2020-05-24,New York,732
2020-05-25,New York,641
2020-05-26,New York,502
2020-05-27,New York,462
2020-05-28,New York,685
2020-05-29,New York,603
2020-05-30,New York,624
2020-05-31,New York,558
2020-06-01,New York,480
2020-06-02,New York,716
2020-06-03,New York,550
2020-06-04,New York,514
2020-06-05,New York,541
2020-06-06,New York,537
2020-06-07,New York,323
2020-06-08,New York,318
2020-06-09,New York,343
2020-06-10,New York,249
2020-06-11,New York,337
2020-06-12,New York,385
2020-06-13,New York,377
2020-06-14,New York,309
2020-06-15,New York,239
2020-06-16,New York,299
2020-06-17,New York,217
2020-06-18,New York,299
2020-06-19,New York,386
2020-06-20,New York,325
2020-06-21,New York,279
2020-06-22,New York,257
2020-06-23,New York,282
2020-06-24,New York,289
2020-06-25,New York,398
2020-06-26,New York,434
2020-06-27,New York,339
2020-06-28,New York,300
2020-06-29,New York,202
2020-06-30,New York,284
2020-07-01,New York,329
2020-07-02,New York,448
2020-07-03,New York,458
2020-07-04,New York,358
2020-07-05,New York,294
2020-07-06,New York,271
2020-07-07,New York,316
2020-07-08,New York,403
2020-07-09,New York,309
2020-07-10,New York,435
2020-07-11,New York,423
2020-07-12,New York,336
2020-07-13,New York,307
2020-07-14,New York,597
2020-07-15,New York,465
2020-07-16,New York,384
2020-07-17,New York,409
2020-07-18,New York,367
2020-07-19,New York,204
