Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Ohio,0
2020-03-02,Ohio,0
2020-03-03,Ohio,0
2020-03-04,Ohio,0
2020-03-05,Ohio,0
2020-03-06,Ohio,0
2020-03-07,Ohio,0
2020-03-08,Ohio,0
2020-03-09,Ohio,3
2020-03-10,Ohio,0
2020-03-11,Ohio,1
2020-03-12,Ohio,1
2020-03-13,Ohio,8
2020-03-14,Ohio,13
2020-03-15,Ohio,11
2020-03-16,Ohio,13
2020-03-17,Ohio,17
2020-03-18,Ohio,23
2020-03-19,Ohio,30
2020-03-20,Ohio,49
2020-03-21,Ohio,78
2020-03-22,Ohio,104
2020-03-23,Ohio,93
2020-03-24,Ohio,120
2020-03-25,Ohio,143
2020-03-26,Ohio,160
2020-03-27,Ohio,277
2020-03-28,Ohio,262
2020-03-29,Ohio,259
2020-03-30,Ohio,268
2020-03-31,Ohio,266
2020-04-01,Ohio,349
2020-04-02,Ohio,355
2020-04-03,Ohio,409
2020-04-04,Ohio,427
2020-04-05,Ohio,304
2020-04-06,Ohio,407
2020-04-07,Ohio,333
2020-04-08,Ohio,366
2020-04-09,Ohio,364
2020-04-10,Ohio,366
2020-04-11,Ohio,372
2020-04-12,Ohio,354
2020-04-13,Ohio,370
2020-04-14,Ohio,305
2020-04-15,Ohio,511
2020-04-16,Ohio,623
2020-04-17,Ohio,693
2020-04-18,Ohio,1115
2020-04-19,Ohio,1380
2020-04-20,Ohio,1317
2020-04-21,Ohio,806
2020-04-22,Ohio,392
2020-04-23,Ohio,577
2020-04-24,Ohio,475
2020-04-25,Ohio,418
2020-04-26,Ohio,376
2020-04-27,Ohio,362
2020-04-28,Ohio,444
2020-04-29,Ohio,534
2020-04-30,Ohio,724
2020-05-01,Ohio,716
2020-05-02,Ohio,592
2020-05-03,Ohio,579
2020-05-04,Ohio,560
2020-05-05,Ohio,495
2020-05-06,Ohio,607
2020-05-07,Ohio,555
2020-05-08,Ohio,887
2020-05-09,Ohio,679
2020-05-10,Ohio,389
2020-05-11,Ohio,699
2020-05-12,Ohio,472
2020-05-13,Ohio,470
2020-05-14,Ohio,636
2020-05-15,Ohio,593
2020-05-16,Ohio,520
2020-05-17,Ohio,449
2020-05-18,Ohio,530
2020-05-19,Ohio,498
2020-05-20,Ohio,484
