Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Pennsylvania,0
2020-03-02,Pennsylvania,0
2020-03-03,Pennsylvania,0
2020-03-04,Pennsylvania,0
2020-03-05,Pennsylvania,0
2020-03-06,Pennsylvania,2
2020-03-07,Pennsylvania,2
2020-03-08,Pennsylvania,2
2020-03-09,Pennsylvania,4
2020-03-10,Pennsylvania,2
2020-03-11,Pennsylvania,4
2020-03-12,Pennsylvania,6
2020-03-13,Pennsylvania,19
2020-03-14,Pennsylvania,6
2020-03-15,Pennsylvania,21
2020-03-16,Pennsylvania,13
2020-03-17,Pennsylvania,20
2020-03-18,Pennsylvania,38
2020-03-19,Pennsylvania,48
2020-03-20,Pennsylvania,82
2020-03-21,Pennsylvania,119
2020-03-22,Pennsylvania,116
2020-03-23,Pennsylvania,140
2020-03-24,Pennsylvania,207
2020-03-25,Pennsylvania,300
2020-03-26,Pennsylvania,539
2020-03-27,Pennsylvania,527
2020-03-28,Pennsylvania,598
2020-03-29,Pennsylvania,626
2020-03-30,Pennsylvania,715
2020-03-31,Pennsylvania,841
2020-04-01,Pennsylvania,808
2020-04-02,Pennsylvania,1216
2020-04-03,Pennsylvania,1381
2020-04-04,Pennsylvania,1708
2020-04-05,Pennsylvania,1480
2020-04-06,Pennsylvania,1485
2020-04-07,Pennsylvania,1507
2020-04-08,Pennsylvania,1832
2020-04-09,Pennsylvania,1965
2020-04-10,Pennsylvania,1749
2020-04-11,Pennsylvania,1646
2020-04-12,Pennsylvania,1181
2020-04-13,Pennsylvania,1340
2020-04-14,Pennsylvania,1296
2020-04-15,Pennsylvania,1213
2020-04-16,Pennsylvania,1510
2020-04-17,Pennsylvania,1807
2020-04-18,Pennsylvania,1621
2020-04-19,Pennsylvania,1250
2020-04-20,Pennsylvania,1013
2020-04-21,Pennsylvania,1379
2020-04-22,Pennsylvania,1379
2020-04-23,Pennsylvania,1571
2020-04-24,Pennsylvania,1964
2020-04-25,Pennsylvania,1328
2020-04-26,Pennsylvania,1083
2020-04-27,Pennsylvania,1019
2020-04-28,Pennsylvania,1595
2020-04-29,Pennsylvania,868
2020-04-30,Pennsylvania,2033
2020-05-01,Pennsylvania,1540
2020-05-02,Pennsylvania,1307
2020-05-03,Pennsylvania,1008
2020-05-04,Pennsylvania,913
2020-05-05,Pennsylvania,975
2020-05-06,Pennsylvania,1022
2020-05-07,Pennsylvania,1160
2020-05-08,Pennsylvania,1352
2020-05-09,Pennsylvania,1160
2020-05-10,Pennsylvania,1376
2020-05-11,Pennsylvania,520
2020-05-12,Pennsylvania,850
2020-05-13,Pennsylvania,787
2020-05-14,Pennsylvania,964
2020-05-15,Pennsylvania,1020
2020-05-16,Pennsylvania,1050
2020-05-17,Pennsylvania,517
2020-05-18,Pennsylvania,931
2020-05-19,Pennsylvania,728
2020-05-20,Pennsylvania,747
2020-05-21,Pennsylvania,1101
2020-05-22,Pennsylvania,1053
2020-05-23,Pennsylvania,797
2020-05-24,Pennsylvania,554
2020-05-25,Pennsylvania,700
2020-05-26,Pennsylvania,517
2020-05-27,Pennsylvania,773
2020-05-28,Pennsylvania,666
2020-05-29,Pennsylvania,761
2020-05-30,Pennsylvania,716
2020-05-31,Pennsylvania,429
2020-06-01,Pennsylvania,516
2020-06-02,Pennsylvania,581
2020-06-03,Pennsylvania,556
2020-06-04,Pennsylvania,557
2020-06-05,Pennsylvania,480
2020-06-06,Pennsylvania,599
2020-06-07,Pennsylvania,494
2020-06-08,Pennsylvania,431
2020-06-09,Pennsylvania,532
2020-06-10,Pennsylvania,446
2020-06-11,Pennsylvania,534
2020-06-12,Pennsylvania,634
2020-06-13,Pennsylvania,410
2020-06-14,Pennsylvania,313
2020-06-15,Pennsylvania,386
2020-06-16,Pennsylvania,390
2020-06-17,Pennsylvania,310
2020-06-18,Pennsylvania,393
2020-06-19,Pennsylvania,508
2020-06-20,Pennsylvania,390
2020-06-21,Pennsylvania,346
2020-06-22,Pennsylvania,642
2020-06-23,Pennsylvania,617
2020-06-24,Pennsylvania,492
2020-06-25,Pennsylvania,455
2020-06-26,Pennsylvania,720
2020-06-27,Pennsylvania,450
2020-06-28,Pennsylvania,385
2020-06-29,Pennsylvania,768
2020-06-30,Pennsylvania,673
2020-07-01,Pennsylvania,638
2020-07-02,Pennsylvania,839
2020-07-03,Pennsylvania,715
2020-07-04,Pennsylvania,504
2020-07-05,Pennsylvania,481
2020-07-06,Pennsylvania,784
2020-07-07,Pennsylvania,799
2020-07-08,Pennsylvania,831
2020-07-09,Pennsylvania,817
2020-07-10,Pennsylvania,940
2020-07-11,Pennsylvania,678
2020-07-12,Pennsylvania,542
2020-07-13,Pennsylvania,584
2020-07-14,Pennsylvania,982
2020-07-15,Pennsylvania,1001
2020-07-16,Pennsylvania,808
2020-07-17,Pennsylvania,1003
2020-07-18,Pennsylvania,608
2020-07-19,Pennsylvania,604
2020-07-20,Pennsylvania,1114
2020-07-21,Pennsylvania,962
2020-07-22,Pennsylvania,807
2020-07-23,Pennsylvania,886
2020-07-24,Pennsylvania,1189
2020-07-25,Pennsylvania,779
2020-07-26,Pennsylvania,652
2020-07-27,Pennsylvania,1222
2020-07-28,Pennsylvania,1134
2020-07-29,Pennsylvania,855
2020-07-30,Pennsylvania,869
2020-07-31,Pennsylvania,934
2020-08-01,Pennsylvania,681
2020-08-02,Pennsylvania,570
2020-08-03,Pennsylvania,899
2020-08-04,Pennsylvania,828
2020-08-05,Pennsylvania,727
2020-08-06,Pennsylvania,802
2020-08-07,Pennsylvania,784
2020-08-08,Pennsylvania,588
2020-08-09,Pennsylvania,646
2020-08-10,Pennsylvania,957
2020-08-11,Pennsylvania,792
2020-08-12,Pennsylvania,904
2020-08-13,Pennsylvania,985
2020-08-14,Pennsylvania,824
2020-08-15,Pennsylvania,757
2020-08-16,Pennsylvania,544
2020-08-17,Pennsylvania,611
2020-08-18,Pennsylvania,600
2020-08-19,Pennsylvania,664
2020-08-20,Pennsylvania,786
2020-08-21,Pennsylvania,725
2020-08-22,Pennsylvania,699
2020-08-23,Pennsylvania,519
2020-08-24,Pennsylvania,567
2020-08-25,Pennsylvania,557
2020-08-26,Pennsylvania,520
2020-08-27,Pennsylvania,635
2020-08-28,Pennsylvania,866
2020-08-29,Pennsylvania,752
2020-08-30,Pennsylvania,561
2020-08-31,Pennsylvania,703
2020-09-01,Pennsylvania,751
2020-09-02,Pennsylvania,986
2020-09-03,Pennsylvania,1001
2020-09-04,Pennsylvania,959
2020-09-05,Pennsylvania,764
2020-09-06,Pennsylvania,601
2020-09-07,Pennsylvania,756
2020-09-08,Pennsylvania,533
2020-09-09,Pennsylvania,867
2020-09-10,Pennsylvania,677
2020-09-11,Pennsylvania,1009
2020-09-12,Pennsylvania,891
2020-09-13,Pennsylvania,0
2020-09-14,Pennsylvania,1409
2020-09-15,Pennsylvania,1037
2020-09-16,Pennsylvania,808
2020-09-17,Pennsylvania,924
2020-09-18,Pennsylvania,747
2020-09-19,Pennsylvania,701
2020-09-20,Pennsylvania,663
2020-09-21,Pennsylvania,805
2020-09-22,Pennsylvania,783
2020-09-23,Pennsylvania,861
2020-09-24,Pennsylvania,848
2020-09-25,Pennsylvania,830
2020-09-26,Pennsylvania,886
2020-09-27,Pennsylvania,833
2020-09-28,Pennsylvania,872
2020-09-29,Pennsylvania,1577
2020-09-30,Pennsylvania,916
2020-10-01,Pennsylvania,943
2020-10-02,Pennsylvania,1192
2020-10-03,Pennsylvania,0
2020-10-04,Pennsylvania,1891
2020-10-05,Pennsylvania,965
2020-10-06,Pennsylvania,1129
2020-10-07,Pennsylvania,1295
2020-10-08,Pennsylvania,1421
2020-10-09,Pennsylvania,1381
2020-10-10,Pennsylvania,1452
2020-10-11,Pennsylvania,1016
2020-10-12,Pennsylvania,1024
2020-10-13,Pennsylvania,1829
2020-10-14,Pennsylvania,1283
2020-10-15,Pennsylvania,1546
2020-10-16,Pennsylvania,1683
2020-10-17,Pennsylvania,1485
2020-10-18,Pennsylvania,1102
2020-10-19,Pennsylvania,1670
2020-10-20,Pennsylvania,1546
