Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-03-01,Texas,0
2020-03-02,Texas,0
2020-03-03,Texas,0
2020-03-04,Texas,1
2020-03-05,Texas,4
2020-03-06,Texas,3
2020-03-07,Texas,0
2020-03-08,Texas,4
2020-03-09,Texas,1
2020-03-10,Texas,7
2020-03-11,Texas,2
2020-03-12,Texas,8
2020-03-13,Texas,17
2020-03-14,Texas,11
2020-03-15,Texas,11
2020-03-16,Texas,7
2020-03-17,Texas,19
2020-03-18,Texas,60
2020-03-19,Texas,82
2020-03-20,Texas,138
2020-03-21,Texas,161
2020-03-22,Texas,92
2020-03-23,Texas,89
2020-03-24,Texas,129
2020-03-25,Texas,275
2020-03-26,Texas,410
2020-03-27,Texas,429
2020-03-28,Texas,410
2020-03-29,Texas,341
2020-03-30,Texas,343
2020-03-31,Texas,523
2020-04-01,Texas,814
2020-04-02,Texas,550
2020-04-03,Texas,821
2020-04-04,Texas,793
2020-04-05,Texas,551
2020-04-06,Texas,1033
2020-04-07,Texas,818
2020-04-08,Texas,929
2020-04-09,Texas,1475
2020-04-10,Texas,919
2020-04-11,Texas,917
2020-04-12,Texas,568
2020-04-13,Texas,711
2020-04-14,Texas,816
2020-04-15,Texas,803
2020-04-16,Texas,822
2020-04-17,Texas,1203
2020-04-18,Texas,796
2020-04-19,Texas,514
2020-04-20,Texas,594
2020-04-21,Texas,914
2020-04-22,Texas,820
2020-04-23,Texas,937
2020-04-24,Texas,944
2020-04-25,Texas,844
2020-04-26,Texas,715
2020-04-27,Texas,754
2020-04-28,Texas,905
2020-04-29,Texas,971
2020-04-30,Texas,1233
2020-05-01,Texas,1270
2020-05-02,Texas,1091
2020-05-03,Texas,866
2020-05-04,Texas,835
2020-05-05,Texas,1152
2020-05-06,Texas,1155
2020-05-07,Texas,1241
2020-05-08,Texas,1261
2020-05-09,Texas,906
2020-05-10,Texas,1188
2020-05-11,Texas,951
2020-05-12,Texas,1360
2020-05-13,Texas,1474
2020-05-14,Texas,1347
2020-05-15,Texas,1818
2020-05-16,Texas,879
2020-05-17,Texas,962
2020-05-18,Texas,960
2020-05-19,Texas,1292
2020-05-20,Texas,1289
2020-05-21,Texas,1072
2020-05-22,Texas,928
2020-05-23,Texas,1082
2020-05-24,Texas,599
2020-05-25,Texas,440
2020-05-26,Texas,1083
2020-05-27,Texas,1532
2020-05-28,Texas,1715
2020-05-29,Texas,1253
2020-05-30,Texas,1323
2020-05-31,Texas,1578
2020-06-01,Texas,1107
2020-06-02,Texas,1885
2020-06-03,Texas,1580
2020-06-04,Texas,1784
2020-06-05,Texas,1993
2020-06-06,Texas,1754
2020-06-07,Texas,871
2020-06-08,Texas,1378
2020-06-09,Texas,1945
2020-06-10,Texas,2500
2020-06-11,Texas,2001
2020-06-12,Texas,2259
2020-06-13,Texas,2089
2020-06-14,Texas,1422
2020-06-15,Texas,2184
2020-06-16,Texas,4247
2020-06-17,Texas,3493
2020-06-18,Texas,3211
2020-06-19,Texas,4645
2020-06-20,Texas,4272
2020-06-21,Texas,3292
2020-06-22,Texas,4760
2020-06-23,Texas,5080
2020-06-24,Texas,6584
2020-06-25,Texas,5473
2020-06-26,Texas,5799
2020-06-27,Texas,6057
2020-06-28,Texas,4227
2020-06-29,Texas,5890
2020-06-30,Texas,7947
2020-07-01,Texas,8123
2020-07-02,Texas,7434
2020-07-03,Texas,7789
2020-07-04,Texas,5658
2020-07-05,Texas,4430
2020-07-06,Texas,9213
2020-07-07,Texas,9814
2020-07-08,Texas,9952
2020-07-09,Texas,10909
2020-07-10,Texas,9923
2020-07-11,Texas,8332
2020-07-12,Texas,6531
2020-07-13,Texas,8921
2020-07-14,Texas,10906
2020-07-15,Texas,11840
2020-07-16,Texas,15038
2020-07-17,Texas,9738
2020-07-18,Texas,8805
2020-07-19,Texas,7977
2020-07-20,Texas,7636
2020-07-21,Texas,9922
2020-07-22,Texas,10967
2020-07-23,Texas,9543
2020-07-24,Texas,7558
2020-07-25,Texas,7947
2020-07-26,Texas,4129
2020-07-27,Texas,6557
2020-07-28,Texas,10554
2020-07-29,Texas,9042
2020-07-30,Texas,10243
2020-07-31,Texas,10956
2020-08-01,Texas,5134
2020-08-02,Texas,6535
2020-08-03,Texas,8782
2020-08-04,Texas,9564
2020-08-05,Texas,9362
2020-08-06,Texas,7635
2020-08-07,Texas,8164
2020-08-08,Texas,6339
2020-08-09,Texas,5787
2020-08-10,Texas,6790
2020-08-11,Texas,7716
2020-08-12,Texas,6927
2020-08-13,Texas,6980
2020-08-14,Texas,8865
2020-08-15,Texas,7673
2020-08-16,Texas,8121
2020-08-17,Texas,5594
2020-08-18,Texas,8162
2020-08-19,Texas,5403
2020-08-20,Texas,5277
2020-08-21,Texas,5505
2020-08-22,Texas,5751
2020-08-23,Texas,2988
2020-08-24,Texas,5477
2020-08-25,Texas,6086
2020-08-26,Texas,6129
2020-08-27,Texas,3811
2020-08-28,Texas,4845
2020-08-29,Texas,5342
2020-08-30,Texas,2713
