Date,PROVINCE_STATE_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT
2020-01-21,California,0
2020-01-22,California,0
2020-01-23,California,0
2020-01-24,California,0
2020-01-25,California,1
2020-01-26,California,1
2020-01-27,California,0
2020-01-28,California,0
2020-01-29,California,0
2020-01-30,California,0
2020-01-31,California,1
2020-02-01,California,0
2020-02-02,California,3
2020-02-03,California,0
2020-02-04,California,0
2020-02-05,California,0
2020-02-06,California,0
2020-02-07,California,0
2020-02-08,California,0
2020-02-09,California,0
2020-02-10,California,1
2020-02-11,California,0
2020-02-12,California,0
2020-02-13,California,0
2020-02-14,California,0
2020-02-15,California,0
2020-02-16,California,0
2020-02-17,California,0
2020-02-18,California,0
2020-02-19,California,0
2020-02-20,California,1
2020-02-21,California,1
2020-02-22,California,0
2020-02-23,California,0
2020-02-24,California,2
2020-02-25,California,0
2020-02-26,California,15
2020-02-27,California,0
2020-02-28,California,1
2020-02-29,California,1
2020-03-01,California,5
2020-03-02,California,5
2020-03-03,California,7
2020-03-04,California,10
2020-03-05,California,12
2020-03-06,California,14
2020-03-07,California,19
2020-03-08,California,12
2020-03-09,California,60
2020-03-10,California,7
2020-03-11,California,23
2020-03-12,California,50
2020-03-13,California,68
2020-03-14,California,61
2020-03-15,California,97
2020-03-16,California,110
2020-03-17,California,144
2020-03-18,California,161
2020-03-19,California,174
2020-03-20,California,216
2020-03-21,California,261
2020-03-22,California,306
2020-03-23,California,388
2020-03-24,California,406
2020-03-25,California,539
2020-03-26,California,877
2020-03-27,California,855
2020-03-28,California,651
2020-03-29,California,755
2020-03-30,California,1100
2020-03-31,California,1162
2020-04-01,California,1274
2020-04-02,California,1333
2020-04-03,California,1378
2020-04-04,California,1228
2020-04-05,California,1406
2020-04-06,California,1159
2020-04-07,California,1178
2020-04-08,California,1504
2020-04-09,California,1148
2020-04-10,California,1175
2020-04-11,California,1055
2020-04-12,California,902
2020-04-13,California,1011
2020-04-14,California,1424
2020-04-15,California,1349
2020-04-16,California,1035
2020-04-17,California,1256
2020-04-18,California,1431
2020-04-19,California,715
2020-04-20,California,2318
2020-04-21,California,1982
2020-04-22,California,1729
2020-04-23,California,1961
2020-04-24,California,1834
2020-04-25,California,1222
2020-04-26,California,1101
2020-04-27,California,1517
2020-04-28,California,1362
2020-04-29,California,2334
2020-04-30,California,1566
2020-05-01,California,1848
2020-05-02,California,1435
2020-05-03,California,1319
2020-05-04,California,1261
2020-05-05,California,2515
2020-05-06,California,1939
2020-05-07,California,1694
2020-05-08,California,2135
2020-05-09,California,2207
2020-05-10,California,1228
2020-05-11,California,1462
2020-05-12,California,1637
2020-05-13,California,2068
2020-05-14,California,1729
2020-05-15,California,2068
2020-05-16,California,1918
2020-05-17,California,1433
2020-05-18,California,1577
2020-05-19,California,2038
2020-05-20,California,2144
2020-05-21,California,2363
2020-05-22,California,2313
2020-05-23,California,2014
2020-05-24,California,1928
2020-05-25,California,2274
2020-05-26,California,2907
2020-05-27,California,1949
2020-05-28,California,2198
2020-05-29,California,2972
2020-05-30,California,3057
2020-05-31,California,3014
2020-06-01,California,2529
2020-06-02,California,2438
2020-06-03,California,2326
2020-06-04,California,2510
2020-06-05,California,3593
2020-06-06,California,2637
2020-06-07,California,2850
2020-06-08,California,2290
2020-06-09,California,2958
2020-06-10,California,2894
2020-06-11,California,3570
2020-06-12,California,3576
2020-06-13,California,3149
2020-06-14,California,2519
2020-06-15,California,2709
2020-06-16,California,3469
2020-06-17,California,4250
2020-06-18,California,3754
2020-06-19,California,3708
2020-06-20,California,4011
2020-06-21,California,3953
2020-06-22,California,5813
2020-06-23,California,6419
2020-06-24,California,4850
2020-06-25,California,5524
2020-06-26,California,5614
2020-06-27,California,4426
2020-06-28,California,5502
2020-06-29,California,7040
2020-06-30,California,8158
2020-07-01,California,7611
2020-07-02,California,8434
2020-07-03,California,8100
2020-07-04,California,8878
2020-07-05,California,6411
2020-07-06,California,6282
2020-07-07,California,9897
2020-07-08,California,8538
2020-07-09,California,7212
2020-07-10,California,7989
2020-07-11,California,8525
2020-07-12,California,7646
2020-07-13,California,8530
2020-07-14,California,10387
2020-07-15,California,8904
2020-07-16,California,9264
2020-07-17,California,10161
2020-07-18,California,8272
2020-07-19,California,8266
2020-07-20,California,8735
2020-07-21,California,10171
2020-07-22,California,12162
2020-07-23,California,10647
2020-07-24,California,9921
2020-07-25,California,10231
2020-07-26,California,6011
2020-07-27,California,7765
2020-07-28,California,7848
2020-07-29,California,11088
2020-07-30,California,8230
2020-07-31,California,8004
2020-08-01,California,7234
2020-08-02,California,6430
2020-08-03,California,6298
2020-08-04,California,5023
2020-08-05,California,5518
2020-08-06,California,8237
2020-08-07,California,7129
2020-08-08,California,8016
2020-08-09,California,7086
2020-08-10,California,11023
2020-08-11,California,11811
2020-08-12,California,9019
2020-08-13,California,8115
2020-08-14,California,10031
2020-08-15,California,8738
2020-08-16,California,6527
2020-08-17,California,6483
2020-08-18,California,5508
2020-08-19,California,6243
2020-08-20,California,6659
2020-08-21,California,6590
2020-08-22,California,5334
2020-08-23,California,4619
2020-08-24,California,6292
2020-08-25,California,6084
2020-08-26,California,5292
2020-08-27,California,5352
2020-08-28,California,5427
2020-08-29,California,4109
2020-08-30,California,4089
2020-08-31,California,5954
2020-09-01,California,4087
2020-09-02,California,5407
2020-09-03,California,5366
2020-09-04,California,5290
2020-09-05,California,4381
2020-09-06,California,3159
2020-09-07,California,2456
2020-09-08,California,3425
2020-09-09,California,3083
2020-09-10,California,3822
2020-09-11,California,4107
2020-09-12,California,3456
2020-09-13,California,2808
2020-09-14,California,3673
2020-09-15,California,2855
2020-09-16,California,3401
2020-09-17,California,3626
2020-09-18,California,4492
2020-09-19,California,3640
2020-09-20,California,3001
2020-09-21,California,4142
2020-09-22,California,2860
2020-09-23,California,3271
2020-09-24,California,3323
2020-09-25,California,4062
2020-09-26,California,3479
2020-09-27,California,2484
2020-09-28,California,3098
2020-09-29,California,3143
2020-09-30,California,3186
2020-10-01,California,3181
2020-10-02,California,4058
2020-10-03,California,3130
2020-10-04,California,3141
2020-10-05,California,3086
2020-10-06,California,2602
2020-10-07,California,3410
2020-10-08,California,3651
2020-10-09,California,3844
2020-10-10,California,3074
2020-10-11,California,2774
2020-10-12,California,2883
2020-10-13,California,3654
2020-10-14,California,3480
2020-10-15,California,3286
2020-10-16,California,3722
2020-10-17,California,2156
2020-10-18,California,2137
2020-10-19,California,4271
2020-10-20,California,4428
2020-10-21,California,3060
2020-10-22,California,6273
2020-10-23,California,5901
2020-10-24,California,4317
2020-10-25,California,2700
2020-10-26,California,4362
2020-10-27,California,4928
2020-10-28,California,4050
2020-10-29,California,4225
2020-10-30,California,4933
2020-10-31,California,3419
2020-11-01,California,3635
2020-11-02,California,5251
2020-11-03,California,5242
2020-11-04,California,5239
2020-11-05,California,6276
2020-11-06,California,6713
2020-11-07,California,5203
2020-11-08,California,6040
2020-11-09,California,6762
2020-11-10,California,8743
2020-11-11,California,5150
2020-11-12,California,9700
2020-11-13,California,9864
2020-11-14,California,7964
2020-11-15,California,8964
2020-11-16,California,11382
2020-11-17,California,10733
2020-11-18,California,11421
2020-11-19,California,13161
2020-11-20,California,13722
2020-11-21,California,13442
2020-11-22,California,8804
2020-11-23,California,17825
2020-11-24,California,16534
2020-11-25,California,14144
2020-11-26,California,8983
2020-11-27,California,16930
2020-11-28,California,13207
2020-11-29,California,13215
2020-11-30,California,17727
2020-12-01,California,16667
2020-12-02,California,18174
2020-12-03,California,21858
2020-12-04,California,24251
2020-12-05,California,25005
2020-12-06,California,28792
2020-12-07,California,27254
2020-12-08,California,26262
2020-12-09,California,31772
2020-12-10,California,33859
2020-12-11,California,37105
2020-12-12,California,26683
2020-12-13,California,35806
2020-12-14,California,30190
2020-12-15,California,34250
2020-12-16,California,60942
2020-12-17,California,45322
2020-12-18,California,48243
2020-12-19,California,37358
2020-12-20,California,42883
2020-12-21,California,43255
2020-12-22,California,35372
2020-12-23,California,44757
2020-12-24,California,34716
2020-12-25,California,16749
2020-12-26,California,64986
2020-12-27,California,37554
2020-12-28,California,41721
2020-12-29,California,34167
2020-12-30,California,32374
2020-12-31,California,32295
2021-01-01,California,37951
2021-01-02,California,52194
2021-01-03,California,35911
2021-01-04,California,40723
2021-01-05,California,37284
2021-01-06,California,36907
2021-01-07,California,40420
2021-01-08,California,50971
2021-01-09,California,47229
2021-01-10,California,42408
2021-01-11,California,40624
2021-01-12,California,45884
2021-01-13,California,41675
2021-01-14,California,40715
2021-01-15,California,39104
2021-01-16,California,37559
2021-01-17,California,31547
2021-01-18,California,25393
2021-01-19,California,39106
2021-01-20,California,19329
2021-01-21,California,25575
2021-01-22,California,25035
2021-01-23,California,22982
2021-01-24,California,21650
2021-01-25,California,26903
2021-01-26,California,21632
2021-01-27,California,18630
2021-01-28,California,19628
2021-01-29,California,19743
2021-01-30,California,17528
2021-01-31,California,13964
2021-02-01,California,17592
2021-02-02,California,12888
2021-02-03,California,12560
2021-02-04,California,14681
2021-02-05,California,14012
2021-02-06,California,11572
2021-02-07,California,10194
2021-02-08,California,13616
2021-02-09,California,10513
2021-02-10,California,8592
2021-02-11,California,10617
2021-02-12,California,9525
2021-02-13,California,9160
2021-02-14,California,5947
2021-02-15,California,5009
2021-02-16,California,8794
2021-02-17,California,6274
2021-02-18,California,7848
2021-02-19,California,7891
2021-02-20,California,6062
2021-02-21,California,4646
2021-02-22,California,4976
2021-02-23,California,6260
2021-02-24,California,5852
2021-02-25,California,5634
2021-02-26,California,6902
2021-02-27,California,4408
2021-02-28,California,3489
2021-03-01,California,4197
2021-03-02,California,4317
2021-03-03,California,4403
2021-03-04,California,5255
2021-03-05,California,5062
2021-03-06,California,4263
2021-03-07,California,2753
2021-03-08,California,4177
2021-03-09,California,4141
2021-03-10,California,3468
2021-03-11,California,3560
2021-03-12,California,2305
2021-03-13,California,3738
2021-03-14,California,2248
2021-03-15,California,2962
2021-03-16,California,2062
2021-03-17,California,3368
2021-03-18,California,3572
2021-03-19,California,3212
2021-03-20,California,2189
2021-03-21,California,1948
2021-03-22,California,2906
2021-03-23,California,2497
2021-03-24,California,2777
2021-03-25,California,2491
2021-03-26,California,3373
2021-03-27,California,2110
2021-03-28,California,2170
2021-03-29,California,3059
2021-03-30,California,2380
2021-03-31,California,2507
2021-04-01,California,2642
2021-04-02,California,3767
2021-04-03,California,2886
2021-04-04,California,1625
2021-04-05,California,3109
2021-04-06,California,2261
2021-04-07,California,2420
2021-04-08,California,2551
2021-04-09,California,3614
2021-04-10,California,2977
2021-04-11,California,3895
2021-04-12,California,3500
2021-04-13,California,2609
2021-04-14,California,2488
2021-04-15,California,2325
2021-04-16,California,2825
2021-04-17,California,2217
2021-04-18,California,1608
2021-04-19,California,2555
2021-04-20,California,2483
2021-04-21,California,1950
2021-04-22,California,2556
2021-04-23,California,2264
2021-04-24,California,374
2021-04-25,California,1351
2021-04-26,California,2730
2021-04-27,California,2123
2021-04-28,California,1754
2021-04-29,California,1384
2021-04-30,California,2333
2021-05-01,California,1556
2021-05-02,California,1359
2021-05-03,California,2250
2021-05-04,California,2187
2021-05-05,California,1672
2021-05-06,California,2548
2021-05-07,California,2154
2021-05-08,California,1299
2021-05-09,California,1054
2021-05-10,California,2083
2021-05-11,California,1591
2021-05-12,California,1603
2021-05-13,California,1766
2021-05-14,California,1595
2021-05-15,California,1311
2021-05-16,California,800
2021-05-17,California,1292
2021-05-18,California,1077
2021-05-19,California,1590
2021-05-20,California,1559
2021-05-21,California,1334
2021-05-22,California,775
2021-05-23,California,727
2021-05-24,California,1433
2021-05-25,California,1289
2021-05-26,California,1260
2021-05-27,California,5286
2021-05-28,California,1446
2021-05-29,California,774
2021-05-30,California,602
2021-05-31,California,387
2021-06-01,California,1305
2021-06-02,California,923
2021-06-03,California,1083
2021-06-04,California,1179
2021-06-05,California,829
2021-06-06,California,757
2021-06-07,California,1182
2021-06-08,California,1084
2021-06-09,California,949
2021-06-10,California,1048
2021-06-11,California,983
2021-06-12,California,607
2021-06-13,California,578
2021-06-14,California,1105
2021-06-15,California,1034
2021-06-16,California,861
2021-06-17,California,1010
2021-06-18,California,1142
2021-06-19,California,546
2021-06-20,California,645
2021-06-21,California,1291
2021-06-22,California,1075
2021-06-23,California,880
2021-06-24,California,1014
2021-06-25,California,1400
2021-06-26,California,785
2021-06-27,California,867
2021-06-28,California,1610
2021-06-29,California,656
2021-06-30,California,-1607
2021-07-01,California,16821
2021-07-02,California,2026
2021-07-03,California,700
2021-07-04,California,571
2021-07-05,California,620
2021-07-06,California,2343
2021-07-07,California,3653
2021-07-08,California,60090
2021-07-09,California,2358
2021-07-10,California,429
2021-07-11,California,1113
2021-07-12,California,6720
2021-07-13,California,4649
2021-07-14,California,3109
2021-07-15,California,3685
2021-07-16,California,4927
2021-07-17,California,1777
2021-07-18,California,1633
2021-07-19,California,11283
2021-07-20,California,5923
2021-07-21,California,6491
2021-07-22,California,8920
2021-07-23,California,8857
2021-07-24,California,2588
2021-07-25,California,2084
2021-07-26,California,16309
2021-07-27,California,8598
2021-07-28,California,7692
2021-07-29,California,10207
2021-07-30,California,11270
2021-07-31,California,3340
2021-08-01,California,3321
2021-08-02,California,25448
2021-08-03,California,7632
2021-08-04,California,10111
2021-08-05,California,12516
2021-08-06,California,14875
2021-08-07,California,4129
2021-08-08,California,18853
2021-08-09,California,12989
2021-08-10,California,9674
2021-08-11,California,11479
2021-08-12,California,11357
2021-08-13,California,15016
2021-08-14,California,13336
2021-08-15,California,11390
2021-08-16,California,13229
2021-08-17,California,10901
2021-08-18,California,15705
2021-08-19,California,18072
2021-08-20,California,26088
2021-08-21,California,12739
2021-08-22,California,11958
2021-08-23,California,13061
2021-08-24,California,11122
2021-08-25,California,13093
2021-08-26,California,16107
2021-08-27,California,14547
2021-08-28,California,14115
2021-08-29,California,11893
2021-08-30,California,15457
2021-08-31,California,11483
2021-09-01,California,22732
2021-09-02,California,14358
2021-09-03,California,12022
2021-09-04,California,9727
2021-09-05,California,10551
2021-09-06,California,7054
2021-09-07,California,11141
2021-09-08,California,9061
2021-09-09,California,11053
2021-09-10,California,9861
2021-09-11,California,9154
2021-09-12,California,7392
2021-09-13,California,16056
2021-09-14,California,8746
2021-09-15,California,8760
2021-09-16,California,12292
2021-09-17,California,10053
2021-09-18,California,8263
2021-09-19,California,7068
2021-09-20,California,8696
2021-09-21,California,6669
2021-09-22,California,7557
2021-09-23,California,9726
2021-09-24,California,7495
2021-09-25,California,1555
2021-09-26,California,1179
2021-09-27,California,19950
2021-09-28,California,5305
2021-09-29,California,7143
2021-09-30,California,9241
2021-10-01,California,8033
2021-10-02,California,1363
2021-10-03,California,1056
2021-10-04,California,15331
2021-10-05,California,4554
2021-10-06,California,6396
2021-10-07,California,7165
2021-10-08,California,6829
2021-10-09,California,1195
2021-10-10,California,1039
2021-10-11,California,13388
2021-10-12,California,5320
2021-10-13,California,4714
2021-10-14,California,6472
2021-10-15,California,6417
2021-10-16,California,1097
2021-10-17,California,895
2021-10-18,California,14750
2021-10-19,California,4165
2021-10-20,California,4153
2021-10-21,California,7419
2021-10-22,California,6262
2021-10-23,California,1161
2021-10-24,California,913
2021-10-25,California,3574
2021-10-26,California,17329
2021-10-27,California,5091
2021-10-28,California,13079
2021-10-29,California,7000
2021-10-30,California,1408
2021-10-31,California,1069
2021-11-01,California,16212
2021-11-02,California,4163
2021-11-03,California,5001
2021-11-04,California,8431
2021-11-05,California,7520
2021-11-06,California,1623
2021-11-07,California,1149
2021-11-08,California,16581
2021-11-09,California,4339
2021-11-10,California,4737
2021-11-11,California,6491
2021-11-12,California,3056
2021-11-13,California,9039
2021-11-14,California,935
2021-11-15,California,7623
2021-11-16,California,4901
2021-11-17,California,4931
2021-11-18,California,6627
2021-11-19,California,6090
2021-11-20,California,1853
2021-11-21,California,1049
2021-11-22,California,11384
2021-11-23,California,4541
2021-11-24,California,4168
2021-11-25,California,2
2021-11-26,California,1990
2021-11-27,California,618
2021-11-28,California,574
2021-11-29,California,17211
2021-11-30,California,4955
2021-12-01,California,4823
2021-12-02,California,9488
2021-12-03,California,7755
2021-12-04,California,2290
2021-12-05,California,1636
2021-12-06,California,17481
2021-12-07,California,6197
2021-12-08,California,6096
2021-12-09,California,7661
2021-12-10,California,6580
2021-12-11,California,1809
2021-12-12,California,1471
2021-12-13,California,14852
2021-12-14,California,5682
2021-12-15,California,5365
2021-12-16,California,8252
2021-12-17,California,8729
2021-12-18,California,3701
2021-12-19,California,3502
2021-12-20,California,19084
2021-12-21,California,10880
2021-12-22,California,12393
2021-12-23,California,20063
2021-12-24,California,20338
2021-12-25,California,0
2021-12-26,California,20794
2021-12-27,California,16668
2021-12-28,California,49384
2021-12-29,California,30162
2021-12-30,California,49354
2021-12-31,California,57646
2022-01-01,California,0
2022-01-02,California,44710
2022-01-03,California,46362
2022-01-04,California,141752
2022-01-05,California,59311
2022-01-06,California,84896
2022-01-07,California,110612
2022-01-08,California,34396
2022-01-09,California,45631
2022-01-10,California,227972
2022-01-11,California,136412
2022-01-12,California,109162
2022-01-13,California,159736
2022-01-14,California,115913
2022-01-15,California,41927
2022-01-16,California,45104
2022-01-17,California,221235
2022-01-18,California,74284
2022-01-19,California,109330
2022-01-20,California,162854
2022-01-21,California,134562
2022-01-22,California,39156
2022-01-23,California,27492
2022-01-24,California,215830
2022-01-25,California,80672
2022-01-26,California,70486
2022-01-27,California,117445
2022-01-28,California,75826
2022-01-29,California,21692
2022-01-30,California,17162
2022-01-31,California,124284
2022-02-01,California,35250
2022-02-02,California,36441
2022-02-03,California,78520
2022-02-04,California,42435
2022-02-05,California,9952
2022-02-06,California,6943
